Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
57	:	1759168884.198	     2.697	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal56 firebox 0.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z0.0/gal56.out 2> timings_z0.0/gal56.time
17	:	1759168884.106	     2.796	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal16 firebox 0.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z0.0/gal16.out 2> timings_z0.0/gal16.time
37	:	1759168884.152	     2.750	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal36 firebox 0.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z0.0/gal36.out 2> timings_z0.0/gal36.time
47	:	1759168884.175	     2.726	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal46 firebox 0.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z0.0/gal46.out 2> timings_z0.0/gal46.time
60	:	1759168884.205	     2.697	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal59 firebox 0.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z0.0/gal59.out 2> timings_z0.0/gal59.time
8	:	1759168884.088	     2.817	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal7 firebox 0.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z0.0/gal7.out 2> timings_z0.0/gal7.time
39	:	1759168884.156	     2.750	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal38 firebox 0.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z0.0/gal38.out 2> timings_z0.0/gal38.time
52	:	1759168884.187	     2.718	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal51 firebox 0.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z0.0/gal51.out 2> timings_z0.0/gal51.time
62	:	1759168884.210	     2.695	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal61 firebox 0.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z0.0/gal61.out 2> timings_z0.0/gal61.time
48	:	1759168884.177	     2.728	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal47 firebox 0.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z0.0/gal47.out 2> timings_z0.0/gal47.time
2	:	1759168884.076	     2.834	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal1 firebox 0.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z0.0/gal1.out 2> timings_z0.0/gal1.time
13	:	1759168884.098	     2.812	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal12 firebox 0.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z0.0/gal12.out 2> timings_z0.0/gal12.time
24	:	1759168884.121	     2.789	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal23 firebox 0.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z0.0/gal23.out 2> timings_z0.0/gal23.time
