Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
64	:	1759167211.627	    85.230	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal63 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal63.out 2> timings_z1.0/gal63.time
1	:	1759167211.501	    85.675	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal0 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal0.out 2> timings_z1.0/gal0.time
72	:	1759167215.207	    83.391	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal71 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal71.out 2> timings_z1.0/gal71.time
71	:	1759167215.203	    83.687	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal70 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal70.out 2> timings_z1.0/gal70.time
53	:	1759167211.602	    89.236	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal52 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal52.out 2> timings_z1.0/gal52.time
57	:	1759167211.610	    90.406	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal56 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal56.out 2> timings_z1.0/gal56.time
59	:	1759167211.617	    92.256	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal58 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal58.out 2> timings_z1.0/gal58.time
55	:	1759167211.606	    94.873	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal54 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal54.out 2> timings_z1.0/gal54.time
56	:	1759167211.608	    95.201	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal55 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal55.out 2> timings_z1.0/gal55.time
68	:	1759167215.183	    93.001	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal67 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal67.out 2> timings_z1.0/gal67.time
40	:	1759167211.575	    97.264	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal39 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal39.out 2> timings_z1.0/gal39.time
83	:	1759167259.910	    51.776	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal82 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal82.out 2> timings_z1.0/gal82.time
27	:	1759167211.549	   105.256	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal26 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal26.out 2> timings_z1.0/gal26.time
