Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
60	:	1759167209.943	    23.582	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal59 firebox 2.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z2.0/gal59.out 2> timings_z2.0/gal59.time
47	:	1759167209.911	    32.494	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal46 firebox 2.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z2.0/gal46.out 2> timings_z2.0/gal46.time
50	:	1759167209.920	    48.036	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal49 firebox 2.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z2.0/gal49.out 2> timings_z2.0/gal49.time
6	:	1759167209.828	    50.488	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal5 firebox 2.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z2.0/gal5.out 2> timings_z2.0/gal5.time
7	:	1759167209.829	    55.085	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal6 firebox 2.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z2.0/gal6.out 2> timings_z2.0/gal6.time
56	:	1759167209.934	    60.950	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal55 firebox 2.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z2.0/gal55.out 2> timings_z2.0/gal55.time
62	:	1759167209.947	    63.785	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal61 firebox 2.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z2.0/gal61.out 2> timings_z2.0/gal61.time
41	:	1759167209.898	    65.948	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal40 firebox 2.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z2.0/gal40.out 2> timings_z2.0/gal40.time
65	:	1759167233.531	    44.426	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal64 firebox 2.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z2.0/gal64.out 2> timings_z2.0/gal64.time
27	:	1759167209.868	    69.183	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal26 firebox 2.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z2.0/gal26.out 2> timings_z2.0/gal26.time
64	:	1759167209.951	    70.125	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal63 firebox 2.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z2.0/gal63.out 2> timings_z2.0/gal63.time
33	:	1759167209.880	    75.785	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal32 firebox 2.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z2.0/gal32.out 2> timings_z2.0/gal32.time
