Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
47	:	1759167210.059	     0.586	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal46 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal46.out 2> timings_z3.0/gal46.time
39	:	1759167210.041	    56.004	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal38 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal38.out 2> timings_z3.0/gal38.time
42	:	1759167210.048	    59.424	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal41 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal41.out 2> timings_z3.0/gal41.time
50	:	1759167210.066	    59.972	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal49 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal49.out 2> timings_z3.0/gal49.time
48	:	1759167210.061	    60.646	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal47 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal47.out 2> timings_z3.0/gal47.time
60	:	1759167210.092	    64.092	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal59 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal59.out 2> timings_z3.0/gal59.time
52	:	1759167210.071	    67.759	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal51 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal51.out 2> timings_z3.0/gal51.time
28	:	1759167210.018	    69.358	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal27 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal27.out 2> timings_z3.0/gal27.time
65	:	1759167210.651	    71.553	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal64 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal64.out 2> timings_z3.0/gal64.time
33	:	1759167210.027	    75.226	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal32 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal32.out 2> timings_z3.0/gal32.time
56	:	1759167210.082	    77.366	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal55 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal55.out 2> timings_z3.0/gal55.time
54	:	1759167210.076	    78.275	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal53 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal53.out 2> timings_z3.0/gal53.time
59	:	1759167210.089	    80.288	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal58 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal58.out 2> timings_z3.0/gal58.time
63	:	1759167210.099	    81.518	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal62 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal62.out 2> timings_z3.0/gal62.time
11	:	1759167209.983	    84.072	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal10 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal10.out 2> timings_z3.0/gal10.time
58	:	1759167210.087	    84.764	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal57 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal57.out 2> timings_z3.0/gal57.time
36	:	1759167210.034	    87.858	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal35 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal35.out 2> timings_z3.0/gal35.time
55	:	1759167210.079	    90.178	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal54 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal54.out 2> timings_z3.0/gal54.time
23	:	1759167210.008	    90.301	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal22 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal22.out 2> timings_z3.0/gal22.time
13	:	1759167209.987	    90.980	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal12 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal12.out 2> timings_z3.0/gal12.time
44	:	1759167210.052	    91.746	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal43 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal43.out 2> timings_z3.0/gal43.time
45	:	1759167210.054	    92.286	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal44 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal44.out 2> timings_z3.0/gal44.time
57	:	1759167210.084	    92.863	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal56 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal56.out 2> timings_z3.0/gal56.time
30	:	1759167210.022	    93.066	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal29 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal29.out 2> timings_z3.0/gal29.time
29	:	1759167210.020	    93.451	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal28 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal28.out 2> timings_z3.0/gal28.time
64	:	1759167210.102	    94.872	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal63 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal63.out 2> timings_z3.0/gal63.time
51	:	1759167210.068	    98.200	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal50 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal50.out 2> timings_z3.0/gal50.time
31	:	1759167210.024	    98.949	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal30 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal30.out 2> timings_z3.0/gal30.time
34	:	1759167210.030	   102.858	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal33 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal33.out 2> timings_z3.0/gal33.time
53	:	1759167210.074	   103.167	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal52 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal52.out 2> timings_z3.0/gal52.time
35	:	1759167210.032	   104.154	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal34 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal34.out 2> timings_z3.0/gal34.time
62	:	1759167210.097	   106.411	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal61 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal61.out 2> timings_z3.0/gal61.time
49	:	1759167210.064	   107.463	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal48 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal48.out 2> timings_z3.0/gal48.time
37	:	1759167210.036	   111.131	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal36 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal36.out 2> timings_z3.0/gal36.time
21	:	1759167210.004	   113.416	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal20 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal20.out 2> timings_z3.0/gal20.time
24	:	1759167210.010	   115.438	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal23 firebox 3.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z3.0/gal23.out 2> timings_z3.0/gal23.time
