name,galaxy_type,redshift,number_of_NaN_indices,R_half_light_visible,R_half_mass_stellar_mass,hden_mass_average_half_light_visible_z500pc,column_density_half_light_visible_z500pc,L_co_10_semi_analytical,gas_mass,star_mass,total_gas_mass_within_R50_and_disk,total_star_mass_within_R50_and_disk,gas_fraction_all_galaxy,gas_fraction_R50_and_disk,stellar_mass_fraction_all_galaxy,stellar_mass_fraction_within_R50_and_disk,h2_mass_semi_analytical,h2_mass_cloudy,co_mass_cloudy,halo_mass,sfr_instantaneous,sfr_5Myr,sfr_10Myr,sfr_100Myr,sfr_instantaneous_surface_density_twoR50,sfr_5Myr_surface_density_twoR50,sfr_10Myr_surface_density_twoR50,sfr_100Myr_surface_density_twoR50,sfr_instantaneous_sSFR,sfr_5Myr_sSFR,sfr_10Myr_sSFR,sfr_100Myr_sSFR,sfe_sfr_instantaneous_all_gas,sfe_sfr_5Myr_all_gas,sfe_sfr_10Myr_all_gas,sfe_sfr_100Myr_all_gas,sfe_sfr_instantaneous_surface_density_twoR50_all_gas,sfe_sfr_5Myr_surface_density_twoR50_all_gas,sfe_sfr_10Myr_surface_density_twoR50_all_gas,sfe_sfr_100Myr_surface_density_twoR50_all_gas,sfe_sfr_instantaneous_sSFR_all_gas,sfe_sfr_5Myr_sSFR_all_gas,sfe_sfr_10Myr_sSFR_all_gas,sfe_sfr_100Myr_sSFR_all_gas,sfe_sfr_instantaneous_R50_and_disk,sfe_sfr_5Myr_R50_and_disk,sfe_sfr_10Myr_R50_and_disk,sfe_sfr_100Myr_R50_and_disk,sfe_sfr_instantaneous_surface_density_twoR50_R50_and_disk,sfe_sfr_5Myr_surface_density_twoR50_R50_and_disk,sfe_sfr_10Myr_surface_density_twoR50_R50_and_disk,sfe_sfr_100Myr_surface_density_twoR50_R50_and_disk,sfe_sfr_instantaneous_sSFR_R50_and_disk,sfe_sfr_5Myr_sSFR_R50_and_disk,sfe_sfr_10Myr_sSFR_R50_and_disk,sfe_sfr_100Myr_sSFR_R50_and_disk,average_gas_metallicity,average_star_metallicity,gas_metallicity_inner_galaxy,star_metallicity_inner_galaxy,gas_metallicity_hden_higher_than_1eminus2,gas_metallicity_hden_higher_than_1,metallicity_gas_half_light_visible_z500pc,metallicity_star_half_light_visible_z500pc,twelve_plus_logOH,twelve_plus_logOH_half_light_visible_z500pc,Pgas_10kpc,Pstar_10kpc,Ptotal_10kpc,Pgas_20kpc,Pstar_20kpc,Ptotal_20kpc,Pgas_half_light_visible_z500pc,Pstar_half_light_visible_z500pc,Ptotal_half_light_visible_z500pc,fire_temperature_mass_average_half_light_visible_z500pc,co_weighted_temperature_mass_average_half_light_visible_z500pc,h2_weighted_temperature_mass_average_half_light_visible_z500pc,L_fir,L_skirt_full_wavelength_range,L_skirt_habing,mass_average_radiation_field,volume_weighted_average_radiation_field,mass_average_radiation_field_R50_and_disk,volume_weighted_average_radiation_field_R50_and_disk,L_ly_alpha,L_h_alpha,L_h_beta,L_co_10,L_co_21,L_co_32,L_co_43,L_co_54,L_co_65,L_co_76,L_co_87,L_13co,L_c2,L_o3_88,L_o3_5006,L_o3_4958,L_ly_alpha_half_light_visible_z500pc,L_h_alpha_half_light_visible_z500pc,L_h_beta_half_light_visible_z500pc,L_co_10_half_light_visible_z500pc,L_co_21_half_light_visible_z500pc,L_co_32_half_light_visible_z500pc,L_co_43_half_light_visible_z500pc,L_co_54_half_light_visible_z500pc,L_co_65_half_light_visible_z500pc,L_co_76_half_light_visible_z500pc,L_co_87_half_light_visible_z500pc,L_13co_half_light_visible_z500pc,L_c2_half_light_visible_z500pc,L_o3_88_half_light_visible_z500pc,L_o3_5006_half_light_visible_z500pc,L_o3_4958_half_light_visible_z500pc
gal0,firebox,0.0,0,5.50000e+03,3.70000e+03,3.49138e+01,6.45282e+01,1.03873e+10,1.09006e+10,3.20861e+11,6.13232e+09,1.02685e+11,3.28568e-02,5.63544e-02,9.67143e-01,9.43646e-01,7.77358e+09,5.49277e+09,3.96000e+06,1.76563e+13,2.98921e+01,2.58920e+01,2.13020e+01,1.69348e+01,7.86360e-08,6.81130e-08,5.60384e-08,4.45496e-08,9.31622e-11,8.06954e-11,6.63903e-11,5.27792e-11,2.74224e-09,2.37528e-09,1.95421e-09,1.55356e-09,7.21391e-18,6.24855e-18,5.14085e-18,4.08689e-18,8.54652e-21,7.40283e-21,6.09051e-21,4.84186e-21,4.87452e-09,4.22221e-09,3.47373e-09,2.76156e-09,1.28232e-17,1.11072e-17,9.13821e-18,7.26472e-18,1.51920e-20,1.31590e-20,1.08263e-20,8.60672e-21,3.41601e+00,1.95662e+00,3.57730e+00,2.06008e+00,3.57943e+00,3.63705e+00,3.75744e+00,2.68579e+00,9.35825e+00,9.40358e+00,3.55049e+04,1.06911e+05,1.42416e+05,2.30816e+03,1.42481e+04,1.65563e+04,1.38998e+05,2.54035e+05,3.93033e+05,3.34897e+04,3.93788e+01,3.86741e+01,8.07103e+44,1.31942e+45,3.56702e+41,1.64650e+00,1.64650e+00,2.63822e+00,2.63822e+00,1.39341e+41,4.59254e+40,1.55511e+40,4.12203e+09,5.48644e+09,3.19283e+09,1.07560e+09,2.19409e+08,2.16590e+07,9.42727e+05,2.13086e+04,3.00544e+08,8.73190e+40,1.39058e+40,1.11788e+39,3.74678e+38,8.04556e+40,3.00042e+40,1.01356e+40,3.95061e+09,5.29037e+09,3.07970e+09,1.03349e+09,2.09693e+08,2.06432e+07,8.96776e+05,2.02218e+04,2.85793e+08,4.80542e+40,9.94814e+39,1.26079e+37,4.22578e+36
gal1,firebox,0.0,0,7.50000e+03,2.50000e+03,3.01008e+01,2.83301e+01,1.46211e+10,5.17603e+10,3.75554e+11,5.00634e+09,1.26480e+11,1.21129e-01,3.80749e-02,8.78871e-01,9.61925e-01,2.37107e+10,1.50085e+10,2.44637e+06,1.35680e+13,5.18990e+01,4.46087e+01,4.31593e+01,4.22111e+01,7.34220e-08,6.31084e-08,6.10579e-08,5.97165e-08,1.38193e-10,1.18781e-10,1.14922e-10,1.12397e-10,1.00268e-09,8.61831e-10,8.33830e-10,8.15510e-10,1.41850e-18,1.21924e-18,1.17963e-18,1.15371e-18,2.66986e-21,2.29483e-21,2.22027e-21,2.17149e-21,1.03666e-08,8.91044e-09,8.62093e-09,8.43152e-09,1.46658e-17,1.26057e-17,1.21961e-17,1.19282e-17,2.76036e-20,2.37261e-20,2.29552e-20,2.24509e-20,1.50468e+00,1.76773e+00,2.23946e+00,1.92098e+00,1.50968e+00,1.59815e+00,2.48697e+00,2.35670e+00,9.00337e+00,9.22292e+00,1.59570e+05,2.17411e+05,3.76980e+05,3.49900e+04,5.27473e+04,8.77372e+04,2.67920e+04,7.77324e+04,1.04524e+05,7.15604e+04,1.17643e+02,1.16011e+02,1.79339e+45,2.78758e+45,9.99868e+42,3.31616e+00,3.31616e+00,2.84574e+00,2.84574e+00,2.31003e+42,5.78622e+41,2.01209e+41,4.84236e+09,7.18785e+09,4.07954e+09,1.21522e+09,2.03522e+08,1.73560e+07,7.18861e+05,1.69075e+04,2.43519e+08,5.64071e+41,1.12488e+41,2.13497e+40,7.15575e+39,1.12626e+41,3.24699e+40,1.11447e+40,3.48780e+09,5.35962e+09,3.04835e+09,8.89384e+08,1.43652e+08,1.18962e+07,4.81275e+05,1.12172e+04,1.65942e+08,4.68858e+40,6.40332e+39,1.99253e+38,6.67832e+37
gal2,firebox,0.0,0,6.90000e+03,4.30000e+03,1.97460e+01,1.64894e+01,1.45619e+10,4.18963e+10,2.99278e+11,2.46634e+09,6.14351e+10,1.22800e-01,3.85960e-02,8.77200e-01,9.61404e-01,1.98541e+10,1.38206e+10,2.46906e+06,1.23809e+13,1.92871e+01,1.58531e+01,1.43525e+01,1.29599e+01,3.22372e-08,2.64976e-08,2.39895e-08,2.16618e-08,6.44454e-11,5.29713e-11,4.79573e-11,4.33041e-11,4.60352e-10,3.78390e-10,3.42573e-10,3.09334e-10,7.69454e-19,6.32458e-19,5.72592e-19,5.17034e-19,1.53821e-21,1.26434e-21,1.14467e-21,1.03360e-21,7.82012e-09,6.42780e-09,5.81937e-09,5.25473e-09,1.30709e-17,1.07437e-17,9.72676e-18,8.78299e-18,2.61300e-20,2.14777e-20,1.94447e-20,1.75580e-20,2.30853e+00,2.00812e+00,3.48464e+00,2.20545e+00,2.30918e+00,2.43046e+00,4.13023e+00,2.75310e+00,9.18261e+00,9.44442e+00,7.21636e+04,1.18203e+05,1.90366e+05,3.02292e+04,4.10406e+04,7.12698e+04,9.07649e+03,3.57334e+04,4.48099e+04,1.22013e+04,1.10912e+02,9.95872e+01,7.06767e+44,1.24721e+45,1.58190e+42,7.44823e-01,7.44823e-01,8.99312e-01,8.99312e-01,5.99745e+41,1.46150e+41,5.00874e+40,6.16195e+09,9.33757e+09,5.31507e+09,1.56624e+09,2.60054e+08,2.18317e+07,8.66711e+05,1.95355e+04,3.08521e+08,3.42539e+41,1.97947e+40,1.01453e+39,3.40036e+38,2.34201e+40,7.15393e+39,2.40188e+39,9.40767e+08,1.38377e+09,7.75628e+08,2.39993e+08,5.15593e+07,5.73388e+06,2.62363e+05,6.19112e+03,8.09079e+07,1.88527e+40,1.24064e+39,1.45455e+36,4.87520e+35
gal5,firebox,0.0,0,5.70000e+03,3.10000e+03,2.05676e+01,3.48584e+01,6.03062e+09,1.99756e+10,1.68525e+11,3.55801e+09,5.08682e+10,1.05971e-01,6.53730e-02,8.94029e-01,9.34627e-01,8.49121e+09,5.95803e+09,8.81654e+05,6.51056e+12,7.71784e+00,7.41454e+00,6.25934e+00,5.67420e+00,1.89032e-08,1.81604e-08,1.53310e-08,1.38978e-08,4.57963e-11,4.39966e-11,3.71418e-11,3.36697e-11,3.86363e-10,3.71180e-10,3.13349e-10,2.84056e-10,9.46316e-19,9.09127e-19,7.67484e-19,6.95737e-19,2.29261e-21,2.20252e-21,1.85936e-21,1.68554e-21,2.16915e-09,2.08390e-09,1.75923e-09,1.59477e-09,5.31287e-18,5.10408e-18,4.30886e-18,3.90605e-18,1.28713e-20,1.23655e-20,1.04389e-20,9.46307e-21,2.09394e+00,1.37514e+00,2.72942e+00,1.45860e+00,2.09954e+00,2.26941e+00,3.14230e+00,1.97262e+00,9.12743e+00,9.30733e+00,4.09293e+04,8.07150e+04,1.21644e+05,7.71821e+03,1.84030e+04,2.61212e+04,4.05624e+04,9.15489e+04,1.32111e+05,9.22235e+03,7.02061e+01,6.68495e+01,3.02294e+44,5.96615e+44,1.05994e+42,6.43673e-01,6.43673e-01,9.43678e-01,9.43678e-01,2.60613e+41,6.16754e+40,2.11677e+40,1.05491e+09,1.43941e+09,8.14627e+08,2.59845e+08,5.07690e+07,4.93700e+06,2.19644e+05,5.33991e+03,7.02478e+07,1.46942e+41,9.34123e+39,8.66954e+38,2.90575e+38,3.37793e+40,1.03125e+40,3.49378e+39,8.66112e+08,1.17990e+09,6.72777e+08,2.18109e+08,4.36926e+07,4.30607e+06,1.90536e+05,4.51519e+03,6.06468e+07,2.27853e+40,2.17414e+39,4.78628e+36,1.60421e+36
gal4,firebox,0.0,0,5.70000e+03,3.70000e+03,2.72958e+01,5.03492e+01,1.06428e+10,1.37688e+10,2.27069e+11,5.13916e+09,8.10231e+10,5.71705e-02,5.96452e-02,9.42830e-01,9.40355e-01,8.99656e+09,6.23892e+09,3.21896e+06,6.14253e+12,1.65365e+01,1.54882e+01,1.24470e+01,8.43141e+00,4.05026e-08,3.79352e-08,3.04864e-08,2.06510e-08,7.28259e-11,6.82094e-11,5.48162e-11,3.71315e-11,1.20101e-09,1.12488e-09,9.04004e-10,6.12357e-10,2.94163e-18,2.75516e-18,2.21417e-18,1.49984e-18,5.28920e-21,4.95391e-21,3.98119e-21,2.69679e-21,3.21774e-09,3.01376e-09,2.42200e-09,1.64062e-09,7.88117e-18,7.38158e-18,5.93218e-18,4.01835e-18,1.41708e-20,1.32725e-20,1.06664e-20,7.22521e-21,3.36676e+00,1.91147e+00,3.59072e+00,2.02373e+00,3.42377e+00,3.52604e+00,3.88880e+00,2.56086e+00,9.35496e+00,9.42177e+00,5.23189e+04,1.10188e+05,1.62507e+05,3.78911e+03,1.56219e+04,1.94110e+04,8.46243e+04,1.66886e+05,2.51510e+05,2.04282e+04,4.57471e+01,4.43361e+01,5.03949e+44,8.71052e+44,4.29886e+41,7.36054e-01,7.36054e-01,1.22477e+00,1.22477e+00,1.24437e+41,3.67514e+40,1.24178e+40,4.47412e+09,6.38887e+09,3.65969e+09,1.14437e+09,2.12627e+08,1.97646e+07,8.37414e+05,1.87457e+04,2.78565e+08,9.52780e+40,9.13258e+39,8.10850e+38,2.71771e+38,4.27498e+40,1.47141e+40,4.93814e+39,3.98223e+09,5.79939e+09,3.31842e+09,1.02144e+09,1.85063e+08,1.68326e+07,7.00398e+05,1.54670e+04,2.37741e+08,3.05300e+40,4.75924e+39,5.48876e+36,1.83965e+36
gal6,firebox,0.0,0,3.30000e+03,2.90000e+03,4.59143e+01,5.85207e+01,6.84579e+09,6.19433e+09,1.91985e+11,2.00211e+09,5.97511e+10,3.12562e-02,3.24211e-02,9.68744e-01,9.67579e-01,4.31505e+09,3.10248e+09,3.46881e+06,5.69554e+12,2.04180e+01,1.19875e+01,9.64670e+00,6.65056e+00,1.49203e-07,8.75971e-08,7.04922e-08,4.85982e-08,1.06352e-10,6.24396e-11,5.02471e-11,3.46410e-11,3.29625e-09,1.93523e-09,1.55734e-09,1.07365e-09,2.40870e-17,1.41415e-17,1.13801e-17,7.84560e-18,1.71693e-20,1.00801e-20,8.11179e-21,5.59237e-21,1.01983e-08,5.98743e-09,4.81827e-09,3.32178e-09,7.45228e-17,4.37525e-17,3.52090e-17,2.42735e-17,5.31201e-20,3.11869e-20,2.50971e-20,1.73023e-20,3.95551e+00,1.73453e+00,4.00294e+00,1.84044e+00,3.99683e+00,4.07405e+00,4.43322e+00,2.39582e+00,9.43014e+00,9.48378e+00,1.15659e+04,6.05166e+04,7.20824e+04,7.35889e+02,7.83661e+03,8.57250e+03,1.14322e+05,3.78134e+05,4.92456e+05,1.48048e+04,3.56182e+01,3.48228e+01,4.29772e+44,7.80637e+44,3.23852e+41,1.11789e+00,1.11789e+00,2.05555e+00,2.05555e+00,5.89096e+40,1.93151e+40,6.50677e+39,4.72070e+09,6.80616e+09,3.92060e+09,1.22714e+09,2.26657e+08,2.11943e+07,8.95069e+05,1.97833e+04,2.94655e+08,4.86489e+40,5.40174e+39,3.40726e+38,1.14201e+38,2.02416e+40,7.66563e+39,2.57548e+39,1.05197e+09,1.04818e+09,6.50672e+08,2.94982e+08,8.64488e+07,1.08704e+07,5.18938e+05,1.18508e+04,1.46421e+08,1.42220e+40,2.42652e+39,6.28905e+35,2.10789e+35
gal7,firebox,0.0,0,5.90000e+03,3.10000e+03,2.68185e+01,2.64462e+01,4.66708e+09,2.54008e+10,1.96636e+11,2.89212e+09,7.25675e+10,1.14399e-01,3.83268e-02,8.85601e-01,9.61673e-01,7.87906e+09,5.29357e+09,1.22548e+06,4.75130e+12,2.12045e+01,8.55140e+00,8.20828e+00,6.90637e+00,4.84747e-08,1.95489e-08,1.87645e-08,1.57883e-08,1.07836e-10,4.34884e-11,4.17434e-11,3.51226e-11,8.34796e-10,3.36658e-10,3.23150e-10,2.71895e-10,1.90839e-18,7.69618e-19,7.38737e-19,6.21567e-19,4.24538e-21,1.71208e-21,1.64339e-21,1.38273e-21,7.33182e-09,2.95679e-09,2.83815e-09,2.38799e-09,1.67609e-17,6.75937e-18,6.48815e-18,5.45907e-18,3.72862e-20,1.50368e-20,1.44335e-20,1.21442e-20,1.57094e+00,1.64189e+00,2.61842e+00,1.74165e+00,1.57119e+00,1.72737e+00,2.93854e+00,2.10963e+00,9.00868e+00,9.27957e+00,2.35828e+04,6.84616e+04,9.20444e+04,1.26296e+04,2.65504e+04,3.91800e+04,2.33472e+04,7.87754e+04,1.02123e+05,7.41796e+03,9.65047e+01,9.27471e+01,3.41354e+44,7.37623e+44,3.29511e+42,9.83025e-01,9.83025e-01,1.46755e+00,1.46755e+00,6.04706e+41,1.32998e+41,4.60918e+40,3.77739e+09,5.84027e+09,3.35024e+09,9.76448e+08,1.52289e+08,1.19336e+07,4.57038e+05,9.91555e+03,1.67231e+08,2.10153e+41,1.84935e+40,4.42183e+39,1.48206e+39,3.49391e+40,1.09531e+40,3.71912e+39,3.69692e+09,5.73310e+09,3.29284e+09,9.59707e+08,1.49392e+08,1.16635e+07,4.43697e+05,9.47908e+03,1.62985e+08,2.19941e+40,2.36969e+39,7.13469e+36,2.39132e+36
gal8,firebox,0.0,0,3.10000e+03,1.50000e+03,4.62507e+01,2.50544e+01,4.48259e+09,1.20973e+10,1.78664e+11,7.56411e+08,5.38943e+10,6.34161e-02,1.38408e-02,9.36584e-01,9.86159e-01,4.65953e+09,3.36797e+09,1.34903e+06,4.19004e+12,1.70854e+01,2.09394e+01,1.97552e+01,1.84045e+01,1.41479e-07,1.73393e-07,1.63586e-07,1.52402e-07,9.56286e-11,1.17200e-10,1.10572e-10,1.03012e-10,1.41233e-09,1.73091e-09,1.63302e-09,1.52137e-09,1.16950e-17,1.43331e-17,1.35225e-17,1.25980e-17,7.90493e-21,9.68809e-21,9.14017e-21,8.51528e-21,2.25874e-08,2.76826e-08,2.61170e-08,2.43314e-08,1.87040e-16,2.29231e-16,2.16267e-16,2.01481e-16,1.26424e-19,1.54942e-19,1.46179e-19,1.36185e-19,1.72860e+00,1.78061e+00,2.27875e+00,1.83463e+00,1.74882e+00,2.18024e+00,3.40416e+00,2.27936e+00,9.06244e+00,9.37180e+00,1.39072e+04,6.92085e+04,8.31157e+04,1.41420e+03,1.11372e+04,1.25514e+04,2.09545e+04,1.68868e+05,1.89823e+05,1.97069e+05,1.01354e+02,1.00144e+02,7.41706e+44,1.01717e+45,1.14976e+42,2.29581e+00,2.29581e+00,1.04584e+01,1.04584e+01,3.27714e+41,8.86145e+40,3.05825e+40,6.22514e+09,1.01349e+10,5.69840e+09,1.56236e+09,2.21189e+08,1.55129e+07,5.59433e+05,1.22800e+04,2.23512e+08,1.06447e+41,2.45946e+40,3.59084e+39,1.20354e+39,2.73547e+40,1.23089e+40,4.16766e+39,4.94175e+09,8.32402e+09,4.66276e+09,1.24097e+09,1.65990e+08,1.08442e+07,3.68873e+05,8.00093e+03,1.57270e+08,1.18608e+40,6.50304e+39,1.02239e+37,3.42674e+36
gal9,firebox,0.0,0,5.70000e+03,3.30000e+03,1.77176e+01,2.51836e+01,5.88609e+09,2.35957e+10,1.70465e+11,2.57050e+09,5.25433e+10,1.21589e-01,4.66398e-02,8.78411e-01,9.53360e-01,8.88837e+09,6.04835e+09,8.08458e+05,3.59139e+12,7.01500e+00,4.68034e+00,4.50061e+00,3.78887e+00,1.71818e-08,1.14635e-08,1.10233e-08,9.28005e-09,4.11521e-11,2.74562e-11,2.64019e-11,2.22266e-11,2.97300e-10,1.98356e-10,1.90739e-10,1.60575e-10,7.28175e-19,4.85831e-19,4.67175e-19,3.93294e-19,1.74405e-21,1.16361e-21,1.11893e-21,9.41978e-22,2.72904e-09,1.82079e-09,1.75087e-09,1.47398e-09,6.68422e-18,4.45965e-18,4.28840e-18,3.61021e-18,1.60094e-20,1.06813e-20,1.02711e-20,8.64682e-21,2.44334e+00,1.51897e+00,3.13093e+00,1.58563e+00,2.44281e+00,2.56200e+00,3.42448e+00,1.96241e+00,9.21086e+00,9.34859e+00,1.86854e+04,5.43847e+04,7.30701e+04,1.09095e+04,2.22521e+04,3.31616e+04,2.11711e+04,6.72200e+04,8.83912e+04,6.98884e+03,8.30209e+01,7.68905e+01,2.49116e+44,5.52429e+44,9.68718e+41,3.21533e-01,3.21533e-01,6.70656e-01,6.70656e-01,1.96705e+41,4.56469e+40,1.55427e+40,5.29029e+08,6.04662e+08,3.49112e+08,1.30939e+08,3.19798e+07,3.68859e+06,1.79508e+05,4.45235e+03,5.13340e+07,1.67460e+41,5.64225e+39,2.97781e+38,9.98069e+37,1.89021e+40,5.49873e+39,1.85119e+39,3.04557e+08,3.07088e+08,1.86723e+08,8.14834e+07,2.28987e+07,2.79524e+06,1.35282e+05,3.18013e+03,3.78897e+07,1.55886e+40,8.38129e+38,1.16351e+36,3.89973e+35
gal10,firebox,0.0,0,2.90000e+03,2.10000e+03,3.72524e+01,1.80514e+01,3.46292e+09,1.33151e+10,1.59521e+11,4.76933e+08,4.31635e+10,7.70390e-02,1.09287e-02,9.22961e-01,9.89071e-01,3.49167e+09,2.53333e+09,1.03768e+06,3.30658e+12,5.38794e+00,3.98980e+00,4.55809e+00,4.14415e+00,5.09820e-08,3.77524e-08,4.31298e-08,3.92129e-08,3.37758e-11,2.50112e-11,2.85737e-11,2.59787e-11,4.04649e-10,2.99645e-10,3.42325e-10,3.11237e-10,3.82889e-18,2.83531e-18,3.23916e-18,2.94500e-18,2.53665e-21,1.87841e-21,2.14596e-21,1.95107e-21,1.12971e-08,8.36554e-09,9.55710e-09,8.68916e-09,1.06896e-16,7.91567e-17,9.04316e-17,8.22190e-17,7.08188e-20,5.24417e-20,5.99113e-20,5.44704e-20,1.71093e+00,1.81091e+00,3.07103e+00,1.89076e+00,1.71409e+00,2.33792e+00,4.72043e+00,2.40743e+00,9.03594e+00,9.50432e+00,6.75267e+03,4.63969e+04,5.31496e+04,2.44403e+03,1.41640e+04,1.66080e+04,1.08776e+04,1.20339e+05,1.31217e+05,1.77968e+04,7.34692e+01,6.96134e+01,2.69863e+44,5.20100e+44,1.17789e+42,5.62267e-01,5.62267e-01,2.00906e+00,2.00906e+00,2.12394e+41,4.27793e+40,1.47906e+40,6.61152e+08,7.62841e+08,4.48737e+08,1.72686e+08,4.32090e+07,4.84253e+06,2.19637e+05,5.07924e+03,6.84907e+07,8.37752e+40,5.63462e+39,1.92081e+39,6.43795e+38,6.98205e+39,2.63674e+39,8.86378e+38,3.36509e+08,3.72477e+08,2.24414e+08,9.18227e+07,2.44611e+07,2.83976e+06,1.27745e+05,2.87537e+03,3.99373e+07,4.86858e+39,8.45989e+38,1.55753e+35,5.22033e+34
