name,galaxy_type,redshift,number_of_NaN_indices,R_half_light_visible,R_half_mass_stellar_mass,hden_mass_average_half_light_visible_z500pc,column_density_half_light_visible_z500pc,L_co_10_semi_analytical,gas_mass,star_mass,total_gas_mass_within_R50_and_disk,total_star_mass_within_R50_and_disk,gas_fraction_all_galaxy,gas_fraction_R50_and_disk,stellar_mass_fraction_all_galaxy,stellar_mass_fraction_within_R50_and_disk,h2_mass_semi_analytical,h2_mass_cloudy,co_mass_cloudy,halo_mass,sfr_instantaneous,sfr_5Myr,sfr_10Myr,sfr_100Myr,sfr_instantaneous_surface_density_twoR50,sfr_5Myr_surface_density_twoR50,sfr_10Myr_surface_density_twoR50,sfr_100Myr_surface_density_twoR50,sfr_instantaneous_sSFR,sfr_5Myr_sSFR,sfr_10Myr_sSFR,sfr_100Myr_sSFR,sfe_sfr_instantaneous_all_gas,sfe_sfr_5Myr_all_gas,sfe_sfr_10Myr_all_gas,sfe_sfr_100Myr_all_gas,sfe_sfr_instantaneous_surface_density_twoR50_all_gas,sfe_sfr_5Myr_surface_density_twoR50_all_gas,sfe_sfr_10Myr_surface_density_twoR50_all_gas,sfe_sfr_100Myr_surface_density_twoR50_all_gas,sfe_sfr_instantaneous_sSFR_all_gas,sfe_sfr_5Myr_sSFR_all_gas,sfe_sfr_10Myr_sSFR_all_gas,sfe_sfr_100Myr_sSFR_all_gas,sfe_sfr_instantaneous_R50_and_disk,sfe_sfr_5Myr_R50_and_disk,sfe_sfr_10Myr_R50_and_disk,sfe_sfr_100Myr_R50_and_disk,sfe_sfr_instantaneous_surface_density_twoR50_R50_and_disk,sfe_sfr_5Myr_surface_density_twoR50_R50_and_disk,sfe_sfr_10Myr_surface_density_twoR50_R50_and_disk,sfe_sfr_100Myr_surface_density_twoR50_R50_and_disk,sfe_sfr_instantaneous_sSFR_R50_and_disk,sfe_sfr_5Myr_sSFR_R50_and_disk,sfe_sfr_10Myr_sSFR_R50_and_disk,sfe_sfr_100Myr_sSFR_R50_and_disk,average_gas_metallicity,average_star_metallicity,gas_metallicity_inner_galaxy,star_metallicity_inner_galaxy,gas_metallicity_hden_higher_than_1eminus2,gas_metallicity_hden_higher_than_1,metallicity_gas_half_light_visible_z500pc,metallicity_star_half_light_visible_z500pc,twelve_plus_logOH,twelve_plus_logOH_half_light_visible_z500pc,Pgas_10kpc,Pstar_10kpc,Ptotal_10kpc,Pgas_20kpc,Pstar_20kpc,Ptotal_20kpc,Pgas_half_light_visible_z500pc,Pstar_half_light_visible_z500pc,Ptotal_half_light_visible_z500pc,fire_temperature_mass_average_half_light_visible_z500pc,co_weighted_temperature_mass_average_half_light_visible_z500pc,h2_weighted_temperature_mass_average_half_light_visible_z500pc,L_fir,L_skirt_full_wavelength_range,L_skirt_habing,mass_average_radiation_field,volume_weighted_average_radiation_field,mass_average_radiation_field_R50_and_disk,volume_weighted_average_radiation_field_R50_and_disk,L_ly_alpha,L_h_alpha,L_h_beta,L_co_10,L_co_21,L_co_32,L_co_43,L_co_54,L_co_65,L_co_76,L_co_87,L_13co,L_c2,L_o3_88,L_o3_5006,L_o3_4958,L_ly_alpha_half_light_visible_z500pc,L_h_alpha_half_light_visible_z500pc,L_h_beta_half_light_visible_z500pc,L_co_10_half_light_visible_z500pc,L_co_21_half_light_visible_z500pc,L_co_32_half_light_visible_z500pc,L_co_43_half_light_visible_z500pc,L_co_54_half_light_visible_z500pc,L_co_65_half_light_visible_z500pc,L_co_76_half_light_visible_z500pc,L_co_87_half_light_visible_z500pc,L_13co_half_light_visible_z500pc,L_c2_half_light_visible_z500pc,L_o3_88_half_light_visible_z500pc,L_o3_5006_half_light_visible_z500pc,L_o3_4958_half_light_visible_z500pc
gal0,firebox,1.0,0,4.10000e+03,1.90000e+03,5.00906e+01,2.79869e+01,3.49655e+09,1.22037e+10,9.88691e+10,1.47799e+09,3.23391e+10,1.09872e-01,4.37054e-02,8.90128e-01,9.56295e-01,4.11515e+09,3.00015e+09,5.93303e+05,6.72533e+12,2.65375e+01,3.24178e+01,3.05598e+01,2.65841e+01,1.25627e-07,1.53464e-07,1.44668e-07,1.25847e-07,2.68410e-10,3.27886e-10,3.09094e-10,2.68881e-10,2.17454e-09,2.65638e-09,2.50414e-09,2.17835e-09,1.02941e-17,1.25752e-17,1.18544e-17,1.03122e-17,2.19941e-20,2.68677e-20,2.53278e-20,2.20327e-20,1.79551e-08,2.19337e-08,2.06766e-08,1.79866e-08,8.49983e-17,1.03833e-16,9.78818e-17,8.51475e-17,1.81605e-19,2.21846e-19,2.09131e-19,1.81924e-19,1.57914e+00,9.34181e-01,2.01537e+00,1.00051e+00,1.67331e+00,2.14051e+00,2.22630e+00,1.16704e+00,9.02989e+00,9.18469e+00,1.25349e+04,4.02369e+04,5.27718e+04,9.16408e+02,5.50358e+03,6.41999e+03,2.61467e+04,9.60677e+04,1.22214e+05,6.19094e+04,1.70926e+02,1.69125e+02,1.05896e+45,1.35983e+45,1.83788e+41,4.34262e+00,4.34262e+00,1.56639e+01,1.56639e+01,4.03960e+41,1.29379e+41,4.46291e+40,1.63905e+09,2.53724e+09,1.43092e+09,4.04064e+08,6.06496e+07,4.78677e+06,1.94311e+05,4.73615e+03,6.73634e+07,1.22894e+41,5.12976e+40,4.58158e+39,1.53560e+39,8.43524e+40,3.45604e+40,1.18369e+40,1.29964e+09,2.11408e+09,1.18453e+09,3.20469e+08,4.48044e+07,3.29874e+06,1.29170e+05,3.20667e+03,4.64992e+07,2.49506e+40,1.76340e+40,3.16096e+38,1.05945e+38
gal1,firebox,1.0,0,2.30000e+03,1.90000e+03,1.74942e+02,2.79207e+01,6.95293e+08,5.68438e+09,2.63507e+11,4.64014e+08,7.52993e+10,2.11165e-02,6.12453e-03,9.78884e-01,9.93875e-01,4.06802e+08,2.99174e+08,5.37712e+05,5.13547e+12,4.05847e+01,1.67836e+01,8.81378e+00,6.54390e+00,6.10516e-07,2.52475e-07,1.32586e-07,9.84399e-08,1.54017e-10,6.36930e-11,3.34480e-11,2.48339e-11,7.13969e-09,2.95257e-09,1.55053e-09,1.15121e-09,1.07402e-16,4.44156e-17,2.33246e-17,1.73176e-17,2.70949e-20,1.12049e-20,5.88419e-21,4.36879e-21,8.74643e-08,3.61703e-08,1.89946e-08,1.41028e-08,1.31573e-15,5.44111e-16,2.85736e-16,2.12148e-16,3.31924e-19,1.37265e-19,7.20839e-20,5.35196e-20,1.15402e+00,1.42414e+00,1.71163e+00,1.56501e+00,1.27882e+00,2.44929e+00,2.53836e+00,1.95959e+00,8.86029e+00,9.21144e+00,6.54327e+02,1.99041e+04,2.05584e+04,6.92303e+01,3.27149e+03,3.34072e+03,2.60232e+04,3.48068e+05,3.74092e+05,1.14683e+06,1.71551e+02,1.70628e+02,5.20766e+44,1.49890e+45,2.02984e+41,3.79889e+00,3.79889e+00,4.49666e+01,4.49666e+01,1.39413e+41,3.55963e+40,1.24388e+40,4.25210e+08,5.26200e+08,3.19716e+08,1.17558e+08,2.60769e+07,2.85520e+06,1.31034e+05,3.02877e+03,3.64617e+07,3.29742e+40,1.23018e+40,3.33627e+39,1.11821e+39,4.58299e+40,1.96580e+40,6.78566e+39,4.23933e+08,5.23901e+08,3.18534e+08,1.17297e+08,2.60485e+07,2.85354e+06,1.30963e+05,3.01920e+03,3.63965e+07,1.13288e+40,8.34754e+39,1.10128e+38,3.69114e+37
gal2,firebox,1.0,0,7.70000e+03,4.50000e+03,4.62289e+01,5.69918e+01,1.40671e+10,5.78621e+10,1.85029e+11,1.06156e+10,8.14699e+10,2.38222e-01,1.15280e-01,7.61778e-01,8.84720e-01,2.50620e+10,1.63128e+10,1.37438e+06,4.38295e+12,1.10626e+02,8.56262e+01,7.88348e+01,7.04104e+01,1.48479e-07,1.14925e-07,1.05810e-07,9.45030e-08,5.97883e-10,4.62771e-10,4.26066e-10,3.80536e-10,1.91189e-09,1.47983e-09,1.36246e-09,1.21686e-09,2.56609e-18,1.98619e-18,1.82866e-18,1.63324e-18,1.03329e-20,7.99782e-21,7.36347e-21,6.57660e-21,1.04211e-08,8.06609e-09,7.42633e-09,6.63274e-09,1.39869e-17,1.08261e-17,9.96743e-18,8.90229e-18,5.63213e-20,4.35936e-20,4.01360e-20,3.58470e-20,1.35355e+00,1.22491e+00,1.93000e+00,1.33550e+00,1.37515e+00,1.43821e+00,1.99104e+00,1.62902e+00,8.96897e+00,9.13995e+00,2.17893e+05,1.76573e+05,3.94466e+05,4.87637e+04,4.44744e+04,9.32381e+04,1.08426e+05,1.20645e+05,2.29071e+05,6.55189e+04,6.45762e+01,6.48289e+01,2.86547e+45,3.91454e+45,8.11931e+42,5.50626e+00,5.50626e+00,1.09798e+01,1.09798e+01,3.29368e+42,8.52610e+41,2.96539e+41,2.63087e+09,3.83760e+09,2.16331e+09,6.41621e+08,1.06365e+08,9.27926e+06,3.94338e+05,9.38202e+03,1.28287e+08,6.95031e+41,2.07883e+41,3.84805e+40,1.28974e+40,5.06335e+41,1.72549e+41,5.94333e+40,2.25065e+09,3.27896e+09,1.86047e+09,5.58089e+08,9.33958e+07,8.16098e+06,3.43418e+05,7.86206e+03,1.12013e+08,1.44852e+41,6.11717e+40,1.36906e+39,4.58865e+38
gal3,firebox,1.0,0,3.70000e+03,2.50000e+03,2.64687e+01,1.05382e+01,9.68206e+08,9.94255e+09,1.60732e+11,4.53230e+08,4.62275e+10,5.82545e-02,9.70914e-03,9.41746e-01,9.90291e-01,1.66856e+09,1.17346e+09,2.27328e+05,3.98307e+12,1.14439e+00,2.31959e+00,2.59521e+00,2.32428e+00,6.65213e-09,1.34834e-08,1.50855e-08,1.35106e-08,7.11987e-12,1.44314e-11,1.61462e-11,1.44606e-11,1.15100e-10,2.33300e-10,2.61020e-10,2.33771e-10,6.69056e-19,1.35613e-18,1.51726e-18,1.35887e-18,7.16100e-22,1.45148e-21,1.62395e-21,1.45441e-21,2.52496e-09,5.11791e-09,5.72602e-09,5.12825e-09,1.46771e-17,2.97495e-17,3.32843e-17,2.98096e-17,1.57092e-20,3.18413e-20,3.56247e-20,3.19056e-20,1.36854e+00,1.05835e+00,2.02870e+00,1.13752e+00,1.37050e+00,1.73707e+00,3.23221e+00,1.42174e+00,8.90546e+00,9.28235e+00,2.40007e+03,2.28900e+04,2.52900e+04,1.18686e+03,8.27667e+03,9.46353e+03,3.70715e+03,5.04485e+04,5.41556e+04,1.83732e+04,1.46741e+02,1.37843e+02,2.47216e+44,7.62792e+44,9.05293e+41,2.72333e-01,2.72333e-01,2.29212e+00,2.29212e+00,1.06939e+41,2.07114e+40,7.16491e+39,1.66237e+08,1.77912e+08,1.08073e+08,4.43978e+07,1.07885e+07,1.12763e+06,4.93719e+04,1.14555e+03,1.58670e+07,5.00181e+40,3.18372e+39,1.50038e+39,5.02881e+38,6.25558e+39,2.56843e+39,8.71042e+38,1.45012e+08,1.47353e+08,9.25080e+07,4.04510e+07,1.02088e+07,1.07903e+06,4.71339e+04,1.04490e+03,1.49730e+07,3.56090e+39,1.04110e+39,1.29447e+36,4.33867e+35
gal4,firebox,1.0,0,2.90000e+03,2.10000e+03,8.04239e+01,1.09394e+01,1.28819e+09,2.00078e+09,2.24551e+11,2.89027e+08,4.21264e+10,8.83144e-03,6.81419e-03,9.91169e-01,9.93186e-01,5.49483e+08,4.30473e+08,1.24369e+06,3.82973e+12,1.35614e+01,7.32267e+00,6.16213e+00,6.80153e+00,1.28321e-07,6.92889e-08,5.83076e-08,6.43578e-08,6.03933e-11,3.26102e-11,2.74420e-11,3.02894e-11,6.77805e-09,3.65991e-09,3.07986e-09,3.39944e-09,6.41356e-17,3.46309e-17,2.91424e-17,3.21663e-17,3.01849e-20,1.62987e-20,1.37156e-20,1.51388e-20,4.69208e-08,2.53356e-08,2.13203e-08,2.35325e-08,4.43976e-16,2.39731e-16,2.01737e-16,2.22670e-16,2.08954e-19,1.12828e-19,9.49460e-20,1.04798e-19,3.02059e+00,1.22630e+00,4.25381e+00,1.31167e+00,3.93659e+00,4.57227e+00,4.68328e+00,1.58233e+00,9.29268e+00,9.50015e+00,2.13253e+02,8.73352e+03,8.94677e+03,1.91290e+01,1.31914e+03,1.33827e+03,3.99479e+03,7.20457e+04,7.60405e+04,1.62755e+05,1.20665e+02,1.18762e+02,3.97728e+44,1.21362e+45,1.18667e+40,2.24350e+00,2.24350e+00,9.51882e+00,9.51882e+00,3.60878e+40,1.19870e+40,4.08604e+39,6.67275e+09,1.03962e+10,5.97998e+09,1.73909e+09,2.61404e+08,1.85988e+07,6.40855e+05,1.25893e+04,2.66195e+08,1.76174e+40,6.34291e+39,2.02622e+39,6.79125e+38,8.72331e+39,4.44452e+39,1.49804e+39,6.36327e+09,1.00752e+10,5.77890e+09,1.65115e+09,2.38122e+08,1.59496e+07,5.21468e+05,9.94519e+03,2.30335e+08,4.70500e+39,2.68559e+39,5.56194e+35,1.86419e+35
gal5,firebox,1.0,0,3.90000e+03,2.70000e+03,3.37365e+01,3.85345e+01,4.59156e+09,2.90446e+10,1.33773e+11,1.84132e+09,4.61489e+10,1.78387e-01,3.83686e-02,8.21613e-01,9.61631e-01,9.11745e+09,5.97969e+09,2.58237e+05,3.01058e+12,1.79898e+01,1.57117e+01,1.35890e+01,1.18221e+01,9.41212e-08,8.22022e-08,7.10967e-08,6.18522e-08,1.34480e-10,1.17450e-10,1.01582e-10,8.83741e-11,6.19384e-10,5.40949e-10,4.67867e-10,4.07032e-10,3.24057e-18,2.83020e-18,2.44784e-18,2.12956e-18,4.63010e-21,4.04377e-21,3.49746e-21,3.04270e-21,9.77006e-09,8.53284e-09,7.38005e-09,6.42045e-09,5.11162e-17,4.46431e-17,3.86118e-17,3.35913e-17,7.30345e-20,6.37858e-20,5.51683e-20,4.79950e-20,1.34660e+00,1.01752e+00,1.70327e+00,1.08474e+00,1.34543e+00,1.50808e+00,2.13681e+00,1.25567e+00,8.96180e+00,9.16173e+00,6.48754e+04,1.09113e+05,1.73988e+05,9.88993e+03,2.18725e+04,3.17624e+04,4.95689e+04,1.70321e+05,2.19890e+05,2.61691e+04,9.14487e+01,8.98587e+01,8.17120e+44,1.56370e+45,1.98340e+42,1.61588e+00,1.61588e+00,5.64415e+00,5.64415e+00,7.95091e+41,1.89264e+41,6.56812e+40,4.29684e+08,5.84725e+08,3.26842e+08,9.97387e+07,1.72011e+07,1.54247e+06,7.06926e+04,1.87641e+03,2.21270e+07,2.38256e+41,3.88325e+40,5.14263e+39,1.72365e+39,6.55800e+40,2.42156e+40,8.32278e+39,2.25846e+08,3.00667e+08,1.72204e+08,5.51347e+07,9.83756e+06,8.75624e+05,3.82491e+04,9.08101e+02,1.23906e+07,2.41280e+40,8.42619e+39,5.84158e+37,1.95791e+37
gal6,firebox,1.0,0,2.90000e+03,2.10000e+03,4.10202e+01,3.23436e+01,3.16688e+09,1.56951e+10,1.42501e+11,8.54544e+08,6.17180e+10,9.92128e-02,1.36569e-02,9.00787e-01,9.86343e-01,4.51585e+09,3.13171e+09,7.64429e+05,2.79866e+12,1.16897e+01,7.61111e+00,8.34752e+00,7.39034e+00,1.10611e-07,7.20182e-08,7.89862e-08,6.99292e-08,8.20326e-11,5.34110e-11,5.85787e-11,5.18617e-11,7.44801e-10,4.84937e-10,5.31856e-10,4.70870e-10,7.04749e-18,4.58859e-18,5.03255e-18,4.45549e-18,5.22665e-21,3.40305e-21,3.73230e-21,3.30433e-21,1.36795e-08,8.90663e-09,9.76838e-09,8.64828e-09,1.29438e-16,8.42767e-17,9.24308e-17,8.18321e-17,9.59957e-20,6.25023e-20,6.85497e-20,6.06893e-20,1.46926e+00,1.41433e+00,2.37879e+00,1.46085e+00,1.48398e+00,1.95434e+00,3.53049e+00,1.73458e+00,8.98267e+00,9.37486e+00,2.14777e+04,8.45499e+04,1.06028e+05,3.65563e+03,1.76785e+04,2.13341e+04,3.49210e+04,2.57829e+05,2.92750e+05,6.10486e+04,7.03371e+01,6.87561e+01,4.53066e+44,9.15840e+44,1.96219e+42,8.99400e-01,8.99400e-01,4.88049e+00,4.88049e+00,3.13894e+41,6.44730e+40,2.23454e+40,6.89683e+09,1.11069e+10,6.37066e+09,1.79120e+09,2.46666e+08,1.60456e+07,5.46021e+05,1.11997e+04,2.29964e+08,9.93260e+40,1.03884e+40,3.54673e+39,1.18875e+39,1.72701e+40,7.39667e+39,2.50356e+39,6.77975e+09,1.09622e+10,6.28982e+09,1.76450e+09,2.41313e+08,1.55047e+07,5.20080e+05,1.04993e+04,2.22106e+08,9.55070e+39,3.16740e+39,1.88260e+36,6.30989e+35
gal7,firebox,1.0,0,4.70000e+03,2.10000e+03,2.86909e+01,3.12921e+01,4.45257e+09,3.77648e+10,1.03315e+11,2.17160e+09,4.57154e+10,2.67685e-01,4.53484e-02,7.32315e-01,9.54652e-01,9.46278e+09,5.81411e+09,3.57559e+05,2.22836e+12,2.81273e+01,2.03743e+01,2.13217e+01,2.05636e+01,1.01326e-07,7.33969e-08,7.68098e-08,7.40788e-08,2.72249e-10,1.97207e-10,2.06377e-10,1.99039e-10,7.44802e-10,5.39506e-10,5.64592e-10,5.44517e-10,2.68309e-18,1.94353e-18,2.03390e-18,1.96158e-18,7.20907e-21,5.22197e-21,5.46478e-21,5.27048e-21,1.29524e-08,9.38218e-09,9.81844e-09,9.46934e-09,4.66598e-17,3.37986e-17,3.53702e-17,3.41125e-17,1.25368e-19,9.08118e-20,9.50344e-20,9.16553e-20,8.87778e-01,1.09606e+00,1.53869e+00,1.18818e+00,8.97442e-01,1.05879e+00,2.11139e+00,1.46850e+00,8.77394e+00,9.15374e+00,9.04775e+04,1.11625e+05,2.02102e+05,2.00997e+04,2.68126e+04,4.69123e+04,3.26872e+04,1.04053e+05,1.36740e+05,4.70878e+04,1.55068e+02,1.54473e+02,8.96427e+44,1.46881e+45,1.03356e+43,3.32215e+00,3.32215e+00,5.16139e+00,5.16139e+00,2.53333e+42,5.13349e+41,1.80225e+41,4.71273e+08,6.05545e+08,3.45788e+08,1.13763e+08,2.14798e+07,2.02765e+06,9.06953e+04,2.23548e+03,2.82595e+07,3.28188e+41,7.54788e+40,5.94423e+40,1.99232e+40,8.48221e+40,2.82812e+40,9.73684e+39,1.83326e+08,2.04115e+08,1.22736e+08,4.70851e+07,1.01233e+07,9.97990e+05,4.43141e+04,1.00551e+03,1.37956e+07,2.95540e+40,8.58099e+39,2.72160e+38,9.12194e+37
gal8,firebox,1.0,0,2.50000e+03,2.30000e+03,4.91859e+01,1.04796e+01,1.89010e+08,1.00395e+09,9.02461e+10,2.05767e+08,2.02918e+10,1.10022e-02,1.00386e-02,9.88998e-01,9.89961e-01,1.56117e+08,1.23765e+08,4.36294e+04,1.95517e+12,1.86985e+00,1.04797e+00,7.41927e-01,5.88197e-01,2.38077e-08,1.33432e-08,9.44651e-09,7.48915e-09,2.07195e-11,1.16124e-11,8.22116e-12,6.51770e-12,1.86249e-09,1.04384e-09,7.39006e-10,5.85881e-10,2.37139e-17,1.32906e-17,9.40932e-18,7.45967e-18,2.06379e-20,1.15666e-20,8.18879e-21,6.49204e-21,9.08720e-09,5.09299e-09,3.60566e-09,2.85855e-09,1.15702e-16,6.48459e-17,4.59087e-17,3.63962e-17,1.00694e-19,5.64344e-20,3.99537e-20,3.16751e-20,1.30727e+00,8.23093e-01,1.81765e+00,8.66674e-01,1.34396e+00,2.32088e+00,2.29064e+00,9.94628e-01,8.82775e+00,9.06913e+00,4.62661e+01,2.81996e+03,2.86622e+03,4.98474e+00,4.69199e+02,4.74184e+02,3.66608e+03,5.98455e+04,6.35116e+04,2.79818e+04,4.34984e+02,4.08956e+02,6.18187e+43,4.17815e+44,2.73581e+40,5.70464e-01,5.70464e-01,2.70458e+00,2.70458e+00,9.26667e+39,1.76008e+39,6.13411e+38,3.62779e+07,3.91467e+07,2.38074e+07,9.37264e+06,2.07187e+06,2.13102e+05,9.59916e+03,2.12199e+02,2.91870e+06,3.43172e+39,3.84305e+38,8.00812e+38,2.68407e+38,3.39749e+39,1.01291e+39,3.49720e+38,3.61567e+07,3.89294e+07,2.36949e+07,9.34750e+06,2.06907e+06,2.12937e+05,9.59233e+03,2.11417e+02,2.91192e+06,1.34210e+39,1.55475e+38,5.56064e+36,1.86375e+36
gal9,firebox,1.0,0,5.10000e+03,4.50000e+03,3.81157e+01,4.18411e+01,3.80231e+09,3.08495e+10,8.70573e+10,3.41896e+09,1.41689e+10,2.61643e-01,1.94393e-01,7.38357e-01,8.05607e-01,8.27069e+09,5.43276e+09,1.90707e+05,1.90266e+12,3.05035e+01,2.55915e+01,2.42866e+01,1.12991e+01,9.33253e-08,7.82972e-08,7.43047e-08,3.45696e-08,3.50384e-10,2.93962e-10,2.78972e-10,1.29790e-10,9.88783e-10,8.29560e-10,7.87259e-10,3.66266e-10,3.02518e-18,2.53803e-18,2.40862e-18,1.12059e-18,1.13578e-20,9.52889e-21,9.04300e-21,4.20718e-21,8.92187e-09,7.48519e-09,7.10350e-09,3.30485e-09,2.72964e-17,2.29009e-17,2.17331e-17,1.01112e-17,1.02483e-19,8.59800e-20,8.15957e-20,3.79617e-20,1.08221e+00,8.98556e-01,1.38394e+00,9.99223e-01,1.08465e+00,1.25294e+00,1.63312e+00,1.20601e+00,8.86276e+00,9.04461e+00,7.90098e+04,7.22334e+04,1.51243e+05,7.95616e+03,1.19993e+04,1.99554e+04,5.84408e+04,6.85253e+04,1.26966e+05,8.50676e+04,1.10843e+02,1.09586e+02,8.17045e+44,1.25104e+45,2.34433e+42,2.54591e+00,2.54591e+00,8.73524e+00,8.73524e+00,1.07050e+42,2.56991e+41,8.95546e+40,2.81700e+08,3.84404e+08,2.13204e+08,6.39451e+07,1.12897e+07,1.11137e+06,5.14349e+04,1.32103e+03,1.52732e+07,2.40893e+41,6.16999e+40,1.27621e+40,4.27746e+39,1.36926e+41,4.58909e+40,1.58632e+40,1.59770e+08,2.04901e+08,1.16995e+08,3.80090e+07,7.37167e+06,7.79237e+05,3.63424e+04,8.48921e+02,1.02226e+07,3.62374e+40,1.70235e+40,4.84891e+38,1.62520e+38
