name,galaxy_type,redshift,sfr,sfr_5Myr,sfr_10Myr,sfr_100Myr,gas_mass,star_mass,gas_average_metallicity,star_average_metallicity,gas_metallicity_inner_galaxy,star_metallicity_inner_galaxy,h2_mass_semi_analytical,h2_mass_cloudy,co_mass_cloudy,halo_mass,L_fir,L_skirt_full_wavelength_range,number_of_NaN_indices,gas_metallicity_hden_higher_than_1eminus2,gas_metallicity_hden_higher_than_1,L_co_10_semi_analytical,Pgas_10kpc,Pstar_10kpc,Ptotal_10kpc,Pgas_20kpc,Pstar_20kpc,Ptotal_20kpc,Pgas_half_light_visible_z500pc,Pstar_half_light_visible_z500pc,Ptotal_half_light_visible_z500pc,R_half_light_visible,R_half_light_stellar_mass,metallicity_gas_half_light_visible_z500pc,metalicity_star_half_light_visible_z500pc,hden_mass_average_half_light_visible_z500pc,fire_temperature_mass_average_half_light_visible_z500pc,co_weighted_temperature_mass_average_half_light_visible_z500pc,h2_weighted_temperature_mass_average_half_light_visible_z500pc,column_density_half_light_visible_z500pc,L_ly_alpha,L_h_alpha,L_h_beta,L_co_10,L_co_21,L_co_32,L_co_43,L_co_54,L_co_65,L_co_76,L_co_87,L_13co,L_c2,L_o3_88,L_o3_5006,L_o3_4958,L_ly_alpha_half_light_visible_z500pc,L_h_alpha_half_light_visible_z500pc,L_h_beta_half_light_visible_z500pc,L_co_10_half_light_visible_z500pc,L_co_21_half_light_visible_z500pc,L_co_32_half_light_visible_z500pc,L_co_43_half_light_visible_z500pc,L_co_54_half_light_visible_z500pc,L_co_65_half_light_visible_z500pc,L_co_76_half_light_visible_z500pc,L_co_87_half_light_visible_z500pc,L_13co_half_light_visible_z500pc,L_c2_half_light_visible_z500pc,L_o3_88_half_light_visible_z500pc,L_o3_5006_half_light_visible_z500pc,L_o3_4958_half_light_visible_z500pc
gal6,firebox,2.0,1.54992e+01,2.02859e+01,1.32934e+01,1.79368e+01,7.06104e+09,5.79140e+10,1.15491e+00,5.93738e-01,1.27195e+00,6.44663e-01,6.05422e+08,3.47255e+08,6.00377e+04,1.46496e+12,7.75455e+44,1.36650e+45,0,1.17615e+00,1.30916e+00,3.70590e+08,1.68797e+03,1.55980e+04,1.72860e+04,1.60071e+02,2.42774e+03,2.58781e+03,6.16679e+04,3.14677e+05,3.76345e+05,2.10000e+03,1.70000e+03,1.37804e+00,7.86969e-01,8.18772e+01,7.43925e+04,2.49076e+02,2.47110e+02,4.29809e+01,1.18425e+42,3.45442e+41,1.21495e+41,8.40034e+07,9.16307e+07,5.61362e+07,2.26119e+07,5.76026e+06,7.00972e+05,3.27480e+04,7.52869e+02,8.33785e+06,1.24697e+41,1.85320e+41,3.57459e+40,1.19807e+40,2.17225e+41,1.06273e+41,3.69093e+40,7.65662e+07,8.29417e+07,5.10798e+07,2.08450e+07,5.38942e+06,6.62953e+05,3.11870e+04,7.20179e+02,7.80382e+06,3.29357e+40,6.11877e+40,4.05631e+39,1.35959e+39
gal5,firebox,2.0,4.61048e+00,7.90488e+00,7.63319e+00,1.07631e+01,5.62141e+09,7.71576e+10,7.25341e-01,9.30784e-01,1.74034e+00,9.48482e-01,2.43013e+08,1.49839e+08,1.00571e+05,1.69827e+12,4.40121e+44,8.93530e+44,0,7.39303e-01,7.66349e-01,2.44978e+08,1.28088e+02,7.78765e+03,7.91574e+03,3.10239e+01,1.91860e+03,1.94962e+03,8.57539e+04,1.34489e+06,1.43065e+06,1.10000e+03,9.00000e+02,2.62200e+00,1.12118e+00,8.01275e+01,3.25800e+05,8.45957e+01,8.48881e+01,5.06842e+01,8.98014e+41,1.82349e+41,6.43622e+40,1.18505e+08,1.27385e+08,8.01621e+07,3.28471e+07,7.55793e+06,8.04094e+05,3.53453e+04,7.70615e+02,1.07189e+07,5.85980e+40,7.00877e+40,4.27061e+40,1.43133e+40,5.10893e+40,2.97379e+40,1.00589e+40,1.18435e+08,1.27281e+08,8.01090e+07,3.28341e+07,7.55622e+06,8.03964e+05,3.53390e+04,7.70319e+02,1.07167e+07,1.33909e+40,2.18200e+40,2.10840e+38,7.06688e+37
gal11,firebox,2.0,2.10900e+01,2.33970e+01,2.50041e+01,2.08830e+01,1.64463e+10,3.87553e+10,8.42128e-01,6.74491e-01,9.26406e-01,6.85807e-01,3.25244e+09,1.79182e+09,3.53087e+04,9.11847e+11,1.05760e+45,1.49777e+45,0,8.47278e-01,9.30674e-01,1.16856e+09,2.27284e+04,5.15707e+04,7.42990e+04,1.89396e+03,7.45636e+03,9.35032e+03,9.45247e+04,3.37514e+05,4.32038e+05,2.30000e+03,1.70000e+03,1.17578e+00,7.79090e-01,4.15454e+01,8.05306e+04,1.76342e+02,1.73940e+02,5.32131e+01,2.68610e+42,7.60926e+41,2.67518e+41,7.01452e+07,8.21018e+07,4.77112e+07,1.68846e+07,3.82362e+06,4.39741e+05,2.03719e+04,4.81728e+02,5.46129e+06,3.07162e+41,2.57179e+41,7.97630e+40,2.67337e+40,2.58794e+41,1.13672e+41,3.95572e+40,2.18751e+07,2.47601e+07,1.46448e+07,5.36278e+06,1.24025e+06,1.45883e+05,6.62979e+03,1.47308e+02,1.83873e+06,4.05041e+40,5.19667e+40,4.82536e+39,1.61734e+39
gal10,firebox,2.0,2.47521e+01,2.87969e+01,2.42404e+01,2.16961e+01,1.31007e+10,3.24866e+10,7.83375e-01,5.47034e-01,8.45166e-01,5.80215e-01,1.31552e+09,6.03904e+08,5.27024e+04,9.31395e+11,1.00983e+45,1.36366e+45,0,7.80545e-01,8.38756e-01,5.19513e+08,8.37438e+03,2.94283e+04,3.78027e+04,7.48668e+02,4.41459e+03,5.16326e+03,2.80801e+05,6.76750e+05,9.57551e+05,1.90000e+03,1.30000e+03,9.55490e-01,6.84097e-01,9.87965e+01,1.72388e+05,1.79489e+02,1.77776e+02,9.17160e+01,2.81583e+42,7.36044e+41,2.59554e+41,6.33582e+07,6.85467e+07,4.25295e+07,1.78375e+07,5.02198e+06,6.68917e+05,3.31739e+04,7.98668e+02,6.93007e+06,2.29355e+41,2.73535e+41,1.14672e+41,3.84328e+40,3.97855e+41,1.41265e+41,4.91551e+40,6.20624e+07,6.67938e+07,4.16143e+07,1.75895e+07,4.98414e+06,6.65869e+05,3.30543e+04,7.95629e+02,6.87667e+06,3.67372e+40,6.59442e+40,1.43861e+40,4.82098e+39
gal3,firebox,2.0,3.85097e+01,3.75968e+01,3.03813e+01,1.98583e+01,1.39639e+10,4.03337e+10,7.87297e-01,6.03673e-01,9.18490e-01,6.24122e-01,3.08477e+09,1.77244e+09,1.20778e+05,2.01955e+12,1.17495e+45,1.51236e+45,0,8.01888e-01,9.47110e-01,1.31965e+09,1.80467e+04,4.51962e+04,6.32429e+04,1.32869e+03,6.14788e+03,7.47658e+03,3.06461e+05,6.22647e+05,9.29108e+05,2.30000e+03,1.10000e+03,1.17513e+00,7.22327e-01,8.29781e+01,1.99147e+04,1.43048e+02,1.42313e+02,9.58150e+01,2.49833e+42,6.84693e+41,2.41068e+41,1.69832e+08,1.89484e+08,1.15025e+08,4.49173e+07,1.14131e+07,1.44775e+06,6.91760e+04,1.60878e+03,1.67973e+07,2.62896e+41,2.10724e+41,8.47797e+40,2.84151e+40,4.35626e+41,1.76818e+41,6.15077e+40,1.51959e+08,1.66335e+08,1.02477e+08,4.11586e+07,1.07181e+07,1.37931e+06,6.61373e+04,1.53373e+03,1.58239e+07,6.75007e+40,5.66319e+40,8.11487e+39,2.71991e+39
gal9,firebox,2.0,6.50700e+01,5.47822e+01,4.46545e+01,1.73477e+01,2.36388e+10,2.94810e+10,5.05682e-01,4.32090e-01,5.90547e-01,4.57934e-01,2.63378e+09,1.42275e+09,1.18618e+05,9.43214e+11,1.26814e+45,1.62887e+45,0,5.06559e-01,5.83887e-01,7.28259e+08,2.25568e+04,3.98916e+04,6.24484e+04,1.89806e+03,5.83888e+03,7.73694e+03,2.11480e+05,3.85909e+05,5.97389e+05,2.30000e+03,1.70000e+03,7.88800e-01,5.46956e-01,1.53013e+02,3.64776e+04,2.17786e+02,2.17170e+02,7.95940e+01,4.44225e+42,1.03628e+42,3.67006e+41,1.09630e+08,1.15641e+08,7.53918e+07,3.51984e+07,1.11557e+07,1.75002e+06,1.11794e+05,3.35214e+03,1.36875e+07,3.00522e+41,2.64764e+41,1.93578e+41,6.48780e+40,6.07267e+41,2.16849e+41,7.58120e+40,1.03811e+08,1.07376e+08,7.11763e+07,3.41166e+07,1.09897e+07,1.73139e+06,1.10019e+05,3.24021e+03,1.34565e+07,5.14040e+40,7.12325e+40,2.52921e+40,8.47588e+39
gal8,firebox,2.0,4.09718e+01,5.06012e+01,5.53496e+01,3.48790e+01,2.68634e+10,4.14922e+10,8.08616e-01,5.95834e-01,9.26966e-01,6.32716e-01,6.47536e+09,3.49709e+09,1.02964e+05,9.71246e+11,1.93887e+45,2.43881e+45,0,8.23836e-01,9.27155e-01,2.46923e+09,5.68434e+04,6.14891e+04,1.18332e+05,4.43606e+03,8.62449e+03,1.30605e+04,8.99040e+04,1.50181e+05,2.40085e+05,3.90000e+03,1.90000e+03,1.17743e+00,7.12058e-01,4.84024e+01,4.38525e+04,1.77797e+02,1.76850e+02,5.18961e+01,5.18321e+42,1.46726e+42,5.14867e+41,1.93887e+08,2.23835e+08,1.31859e+08,4.76477e+07,1.07550e+07,1.24440e+06,5.79549e+04,1.34351e+03,1.56622e+07,5.93552e+41,4.68527e+41,1.40312e+41,4.70272e+40,6.31560e+41,2.47382e+41,8.61078e+40,1.23344e+08,1.39415e+08,8.34982e+07,3.10939e+07,7.08891e+06,8.31149e+05,3.90653e+04,8.91419e+02,1.04866e+07,1.02431e+41,8.82536e+40,1.06506e+40,3.56979e+39
gal1,firebox,2.0,3.86664e+01,3.27210e+01,3.40590e+01,4.03547e+01,2.82564e+10,7.89630e+10,1.22291e+00,7.03627e-01,1.37026e+00,7.51037e-01,8.24477e+09,4.94106e+09,1.75379e+05,2.60068e+12,1.55568e+45,2.20057e+45,0,1.23710e+00,1.32155e+00,3.67699e+09,8.19665e+04,8.60499e+04,1.68016e+05,7.39221e+03,1.31332e+04,2.05254e+04,4.31238e+04,8.38576e+04,1.26981e+05,5.10000e+03,3.50000e+03,1.51331e+00,8.87649e-01,3.90070e+01,5.81298e+04,1.25879e+02,1.25539e+02,3.59421e+01,3.14872e+42,9.34431e+41,3.25660e+41,2.84489e+08,3.26824e+08,1.90600e+08,6.86409e+07,1.57343e+07,1.89986e+06,9.14811e+04,2.13201e+03,2.36860e+07,6.07609e+41,3.43569e+41,4.45422e+40,1.49290e+40,3.96049e+41,1.57248e+41,5.43026e+40,1.49116e+08,1.64296e+08,9.88641e+07,3.79179e+07,9.06723e+06,1.11010e+06,5.31900e+04,1.22105e+03,1.38010e+07,9.74528e+40,6.57625e+40,1.83435e+39,6.14807e+38
gal7,firebox,2.0,3.33868e+01,3.15455e+01,3.45826e+01,5.41069e+01,3.36847e+10,6.23021e+10,8.65557e-01,5.88828e-01,1.02181e+00,6.64535e-01,5.82473e+09,2.87556e+09,6.59711e+04,1.41453e+12,1.58814e+45,2.45084e+45,0,8.76749e-01,9.26239e-01,1.88884e+09,2.81653e+04,3.80217e+04,6.61870e+04,3.57507e+03,7.17530e+03,1.07504e+04,1.21696e+04,2.96306e+04,4.18002e+04,5.70000e+03,3.70000e+03,1.06565e+00,7.43902e-01,6.77499e+01,4.00938e+05,2.88646e+02,2.88001e+02,1.90934e+01,6.69021e+42,1.78358e+42,6.26841e+41,1.13680e+08,1.31716e+08,7.68768e+07,2.78834e+07,6.85250e+06,8.77151e+05,4.27800e+04,1.03153e+03,1.00629e+07,7.11922e+41,6.81891e+41,1.73328e+41,5.80927e+40,5.18322e+41,1.70963e+41,5.95106e+40,8.03644e+07,8.86858e+07,5.36705e+07,2.09813e+07,5.58838e+06,7.50705e+05,3.70781e+04,8.87535e+02,8.22578e+06,6.36010e+40,6.85324e+40,9.49741e+39,3.18322e+39
gal12,firebox,2.0,1.17346e+01,8.56294e+00,7.36535e+00,1.11358e+01,1.57476e+10,2.53484e+10,6.46149e-01,5.62350e-01,8.72741e-01,5.84351e-01,2.00522e+09,1.12135e+09,2.16545e+04,7.40855e+11,4.66477e+44,7.29253e+44,0,6.58600e-01,8.54795e-01,7.05070e+08,1.26529e+04,3.45373e+04,4.71902e+04,9.60836e+02,4.77004e+03,5.73088e+03,1.01210e+05,4.23179e+05,5.24389e+05,1.70000e+03,1.30000e+03,1.20713e+00,6.95065e-01,4.40875e+01,3.74592e+04,1.56721e+02,1.55205e+02,5.50628e+01,1.87595e+42,4.21842e+41,1.48392e+41,4.00740e+07,4.75685e+07,2.73937e+07,9.50134e+06,2.14117e+06,2.53240e+05,1.19802e+04,2.84246e+02,3.10345e+06,1.97827e+41,1.14008e+41,4.02602e+40,1.34938e+40,1.13518e+41,4.46978e+40,1.55290e+40,1.48480e+07,1.69976e+07,1.00091e+07,3.60088e+06,7.84741e+05,8.78584e+04,3.93202e+03,8.42539e+01,1.15946e+06,1.91028e+40,1.94629e+40,1.77491e+39,5.94917e+38
