name,galaxy_type,redshift,sfr,sfr_5Myr,sfr_10Myr,sfr_100Myr,gas_mass,star_mass,gas_average_metallicity,star_average_metallicity,gas_metallicity_inner_galaxy,star_metallicity_inner_galaxy,h2_mass_semi_analytical,h2_mass_cloudy,co_mass_cloudy,halo_mass,L_fir,L_skirt_full_wavelength_range,number_of_NaN_indices,gas_metallicity_hden_higher_than_1eminus2,gas_metallicity_hden_higher_than_1,L_co_10_semi_analytical,Pgas_10kpc,Pstar_10kpc,Ptotal_10kpc,Pgas_20kpc,Pstar_20kpc,Ptotal_20kpc,Pgas_half_light_visible_z500pc,Pstar_half_light_visible_z500pc,Ptotal_half_light_visible_z500pc,R_half_light_visible,R_half_light_stellar_mass,metallicity_gas_half_light_visible_z500pc,metalicity_star_half_light_visible_z500pc,hden_mass_average_half_light_visible_z500pc,fire_temperature_mass_average_half_light_visible_z500pc,co_weighted_temperature_mass_average_half_light_visible_z500pc,h2_weighted_temperature_mass_average_half_light_visible_z500pc,column_density_half_light_visible_z500pc,L_ly_alpha,L_h_alpha,L_h_beta,L_co_10,L_co_21,L_co_32,L_co_43,L_co_54,L_co_65,L_co_76,L_co_87,L_13co,L_c2,L_o3_88,L_o3_5006,L_o3_4958,L_ly_alpha_half_light_visible_z500pc,L_h_alpha_half_light_visible_z500pc,L_h_beta_half_light_visible_z500pc,L_co_10_half_light_visible_z500pc,L_co_21_half_light_visible_z500pc,L_co_32_half_light_visible_z500pc,L_co_43_half_light_visible_z500pc,L_co_54_half_light_visible_z500pc,L_co_65_half_light_visible_z500pc,L_co_76_half_light_visible_z500pc,L_co_87_half_light_visible_z500pc,L_13co_half_light_visible_z500pc,L_c2_half_light_visible_z500pc,L_o3_88_half_light_visible_z500pc,L_o3_5006_half_light_visible_z500pc,L_o3_4958_half_light_visible_z500pc
gal10,firebox,3.0,3.38775e+01,1.53958e+01,8.90238e+00,4.71061e+00,9.18898e+09,1.26392e+10,3.65418e-01,3.25942e-01,3.81658e-01,3.43201e-01,7.23421e+08,3.01660e+08,3.13057e+03,4.17124e+11,4.85228e+44,7.01673e+44,0,3.67653e-01,3.68564e-01,1.44549e+08,4.70274e+03,1.67892e+04,2.14920e+04,3.81356e+02,2.40701e+03,2.78837e+03,4.23110e+05,8.62053e+05,1.28516e+06,1.30000e+03,1.10000e+03,3.90994e-01,3.84348e-01,1.49492e+02,2.03236e+04,4.14945e+02,4.13829e+02,1.12583e+02,2.44439e+42,5.31103e+41,1.89133e+41,6.81213e+06,8.42841e+06,5.18643e+06,1.93138e+06,4.30930e+05,5.05753e+04,2.89232e+03,8.78369e+01,4.64561e+05,8.65630e+40,9.79712e+40,1.62838e+41,5.45779e+40,5.35357e+41,1.59734e+41,5.60904e+40,5.76424e+06,7.08907e+06,4.41659e+06,1.67699e+06,3.80779e+05,4.56680e+04,2.66338e+03,8.10410e+01,4.06524e+05,2.21100e+40,2.56933e+40,3.38631e+40,1.13510e+40
gal11,firebox,3.0,3.94762e+01,2.48606e+01,2.13076e+01,1.04639e+01,1.48044e+10,1.45728e+10,4.70153e-01,4.25371e-01,5.76396e-01,4.39089e-01,2.23586e+09,1.12661e+09,1.58603e+04,4.10154e+11,7.68790e+44,9.75607e+44,0,4.81342e-01,5.87885e-01,6.02531e+08,1.45259e+04,3.01595e+04,4.46854e+04,1.13843e+03,4.23506e+03,5.37349e+03,9.75388e+04,3.56642e+05,4.54181e+05,1.50000e+03,1.30000e+03,7.11311e-01,5.42195e-01,9.21979e+01,3.63967e+05,3.06567e+02,3.03533e+02,5.40548e+01,2.72194e+42,6.64780e+41,2.34442e+41,3.06327e+07,3.61856e+07,2.16435e+07,8.02288e+06,1.91287e+06,2.30132e+05,1.18748e+04,3.20631e+02,2.39311e+06,1.90687e+41,1.53700e+41,1.06634e+41,3.57412e+40,1.80889e+41,5.89590e+40,2.06968e+40,6.73758e+06,7.70360e+06,4.73554e+06,1.87202e+06,4.86235e+05,6.21605e+04,3.24615e+03,8.25402e+01,6.07393e+05,1.25427e+40,2.16502e+40,8.48372e+39,2.84388e+39
gal3,firebox,3.0,8.57669e+01,7.97872e+01,9.45379e+01,5.90451e+01,1.76231e+10,4.46886e+10,5.83033e-01,5.79710e-01,8.04990e-01,5.89575e-01,1.31284e+09,6.94292e+08,1.40225e+05,1.02185e+12,2.84053e+45,3.45550e+45,0,5.81623e-01,6.88578e-01,6.85959e+08,8.70713e+03,5.02595e+04,5.89666e+04,1.04692e+03,8.72786e+03,9.77479e+03,1.85294e+06,5.06679e+06,6.91973e+06,1.10000e+03,9.00000e+02,1.06924e+00,6.59833e-01,2.21301e+02,1.43064e+05,1.21230e+02,1.21418e+02,2.35601e+02,4.54420e+42,1.21473e+42,4.28873e+41,1.85044e+08,2.01640e+08,1.27238e+08,5.40758e+07,1.42089e+07,1.68590e+06,7.94169e+04,1.89405e+03,1.81866e+07,2.73757e+41,4.98224e+41,2.06448e+41,6.91922e+40,6.47918e+41,2.75690e+41,9.58372e+40,1.73615e+08,1.85738e+08,1.18226e+08,5.13687e+07,1.37696e+07,1.65049e+06,7.79612e+04,1.85194e+03,1.76632e+07,5.19599e+40,1.46184e+41,4.08676e+40,1.36952e+40
gal9,firebox,3.0,1.41101e+01,1.41822e+01,1.64526e+01,1.49717e+01,2.34809e+10,1.67088e+10,4.47407e-01,3.09355e-01,5.41185e-01,3.29272e-01,2.41548e+09,1.05279e+09,5.94202e+03,4.85883e+11,6.94266e+44,1.13841e+45,0,4.51786e-01,5.06233e-01,4.76568e+08,4.32968e+04,4.10495e+04,8.43462e+04,3.71676e+03,6.14194e+03,9.85870e+03,1.78863e+04,6.88387e+04,8.67250e+04,2.50000e+03,2.10000e+03,7.02790e-01,3.66726e-01,7.81602e+01,1.03370e+06,4.77487e+02,4.73953e+02,2.31476e+01,5.92679e+42,1.37309e+42,4.87239e+41,1.32969e+07,1.59425e+07,9.38051e+06,3.40490e+06,8.30994e+05,1.05111e+05,5.68868e+03,1.57565e+02,1.04281e+06,3.34265e+41,3.40814e+41,3.01714e+41,1.01122e+41,2.30730e+41,8.00160e+40,2.81247e+40,8.53245e+06,9.61107e+06,5.94674e+06,2.39107e+06,6.52024e+05,8.84313e+04,4.93886e+03,1.35600e+02,8.14893e+05,1.74956e+40,2.52558e+40,1.15206e+40,3.86153e+39
gal5,firebox,3.0,3.87128e+01,3.08451e+01,2.76083e+01,1.81710e+01,2.07792e+10,2.80258e+10,5.17207e-01,4.83673e-01,6.41334e-01,4.91348e-01,3.96607e+09,2.05667e+09,2.61759e+04,7.16296e+11,1.12025e+45,1.45570e+45,0,5.29794e-01,6.39407e-01,1.17606e+09,4.40150e+04,6.09732e+04,1.04988e+05,3.43887e+03,8.53760e+03,1.19765e+04,1.96591e+05,4.13665e+05,6.10256e+05,2.30000e+03,1.50000e+03,9.35563e-01,5.41147e-01,7.24224e+01,7.10338e+04,2.09721e+02,2.09211e+02,7.67410e+01,4.06779e+42,9.87874e+41,3.47713e+41,5.15043e+07,6.13511e+07,3.57185e+07,1.25482e+07,2.80786e+06,3.17155e+05,1.47679e+04,3.60925e+02,3.80087e+06,3.41007e+41,2.07058e+41,1.34248e+41,4.49952e+40,4.09031e+41,1.53228e+41,5.34352e+40,3.15542e+07,3.64913e+07,2.16038e+07,7.86906e+06,1.81956e+06,2.09344e+05,9.60991e+03,2.26493e+02,2.52741e+06,4.96907e+40,4.71648e+40,1.31583e+40,4.41049e+39
gal8,firebox,3.0,3.45999e+01,3.29811e+01,3.37279e+01,2.19634e+01,2.12146e+10,1.25410e+10,3.98664e-01,3.16068e-01,4.90810e-01,3.28946e-01,2.82864e+09,1.07611e+09,8.86778e+03,5.93254e+11,1.10844e+45,1.48925e+45,0,3.99631e-01,4.51237e-01,5.83865e+08,2.27499e+04,2.34257e+04,4.61756e+04,1.84631e+03,3.34186e+03,5.18817e+03,1.27623e+04,3.46300e+04,4.73924e+04,3.10000e+03,1.70000e+03,6.17566e-01,3.51339e-01,3.37906e+01,3.27428e+05,9.05933e+02,9.01703e+02,1.95529e+01,8.10515e+42,1.85386e+42,6.58265e+41,2.07493e+07,2.48453e+07,1.49538e+07,5.53851e+06,1.27853e+06,1.49939e+05,8.27010e+03,2.50288e+02,1.52603e+06,3.66039e+41,4.21878e+41,4.52500e+41,1.51659e+41,3.67108e+41,1.25868e+41,4.45264e+40,1.78829e+06,2.16556e+06,1.25936e+06,4.37879e+05,1.00429e+05,1.22089e+04,6.11627e+02,1.54109e+01,1.37926e+05,2.38559e+40,4.11378e+40,2.33337e+40,7.82129e+39
gal1,firebox,3.0,3.63819e+01,3.64029e+01,3.16826e+01,2.35916e+01,1.89050e+10,4.29065e+10,6.13392e-01,5.42032e-01,7.85615e-01,6.00150e-01,3.68288e+09,1.98364e+09,9.62513e+04,1.03729e+12,1.30511e+45,1.65060e+45,0,6.26055e-01,7.76895e-01,1.33664e+09,1.83163e+04,4.52215e+04,6.35378e+04,1.48003e+03,6.44534e+03,7.92537e+03,3.32329e+05,7.52972e+05,1.08530e+06,2.10000e+03,1.10000e+03,1.26735e+00,6.73927e-01,7.98485e+01,6.84483e+04,1.01179e+02,1.00686e+02,9.97768e+01,3.12610e+42,8.11805e+41,2.85242e+41,1.33146e+08,1.50764e+08,9.04944e+07,3.44229e+07,8.32599e+06,1.00706e+06,4.75858e+04,1.11890e+03,1.20318e+07,3.05266e+41,2.19808e+41,1.01279e+41,3.39453e+40,3.46253e+41,1.54748e+41,5.35696e+40,1.16846e+08,1.29917e+08,7.89513e+07,3.07723e+07,7.58730e+06,9.29226e+05,4.39759e+04,1.02001e+03,1.10710e+07,5.49751e+40,7.57588e+40,7.01882e+39,2.35277e+39
gal7,firebox,3.0,6.09566e+01,7.18012e+01,6.40460e+01,1.77655e+01,2.95021e+10,1.89935e+10,3.90637e-01,3.09254e-01,4.52430e-01,3.19968e-01,3.63909e+09,1.47282e+09,1.59093e+04,6.47837e+11,2.09564e+45,2.65292e+45,0,3.92785e-01,4.30693e-01,7.49985e+08,2.97876e+04,3.22119e+04,6.19995e+04,3.97086e+03,6.09269e+03,1.00635e+04,7.58460e+04,1.06042e+05,1.81888e+05,3.30000e+03,2.90000e+03,5.32878e-01,3.44781e-01,8.59557e+01,1.03450e+05,6.29477e+02,6.29185e+02,4.76663e+01,9.73976e+42,2.32249e+42,8.23789e+41,3.38951e+07,3.96895e+07,2.42909e+07,9.32752e+06,2.19328e+06,2.47963e+05,1.24483e+04,3.63074e+02,2.56857e+06,4.30224e+41,5.14655e+41,5.70654e+41,1.91267e+41,1.11271e+42,3.96474e+41,1.39767e+41,2.13930e+07,2.48246e+07,1.53439e+07,5.98081e+06,1.42194e+06,1.60821e+05,7.82487e+03,2.03322e+02,1.65261e+06,6.09927e+40,1.14784e+41,8.99440e+40,3.01499e+40
gal0,firebox,3.0,3.03228e+01,2.34843e+01,2.35018e+01,2.53101e+01,3.05643e+10,1.10611e+10,2.78026e-01,2.57314e-01,3.53917e-01,2.85863e-01,2.29183e+09,6.55981e+08,2.69993e+03,1.12724e+12,9.24211e+44,1.41506e+45,0,2.78010e-01,2.93299e-01,3.42276e+08,1.51405e+04,1.01809e+04,2.53213e+04,2.59065e+03,2.36210e+03,4.95275e+03,3.34039e+03,4.20173e+03,7.54212e+03,8.10000e+03,1.70000e+03,3.64612e-01,3.02848e-01,3.75784e+01,1.10708e+05,2.09607e+03,2.10169e+03,1.00033e+01,1.21802e+43,2.42502e+42,8.64409e+41,6.80684e+06,8.28014e+06,4.94653e+06,1.78663e+06,3.85394e+05,4.21955e+04,2.26640e+03,7.35219e+01,4.42689e+05,3.30091e+41,4.12345e+41,6.76260e+41,2.26657e+41,1.01420e+42,2.44311e+41,8.60645e+40,4.14674e+06,5.04517e+06,3.04846e+06,1.11675e+06,2.49611e+05,2.83748e+04,1.50398e+03,4.30290e+01,2.81667e+05,4.37367e+40,3.78467e+40,4.85700e+40,1.62796e+40
gal6,firebox,3.0,1.87575e+01,2.45836e+01,2.44086e+01,3.29748e+01,3.09087e+10,1.38998e+10,3.66983e-01,2.73076e-01,4.37967e-01,3.03629e-01,2.24981e+09,7.42702e+08,1.53536e+03,6.77809e+11,8.96152e+44,1.46237e+45,0,3.63886e-01,3.63795e-01,3.57235e+08,1.13832e+04,1.21291e+04,2.35123e+04,4.12687e+03,4.04511e+03,8.17198e+03,3.65143e+03,8.05670e+03,1.17081e+04,5.50000e+03,4.30000e+03,4.08664e-01,3.32401e-01,4.21144e+01,1.39354e+05,1.58852e+03,1.59257e+03,1.04587e+01,1.04219e+43,2.19171e+42,7.80686e+41,4.96407e+06,6.23807e+06,3.63957e+06,1.24107e+06,2.50661e+05,2.57261e+04,1.27654e+03,3.78892e+01,2.81477e+05,3.73446e+41,4.21646e+41,6.31242e+41,2.11568e+41,7.16899e+41,2.05792e+41,7.24337e+40,1.20202e+06,1.50912e+06,8.93807e+05,3.11816e+05,6.40281e+04,6.72565e+03,3.33921e+02,9.69410e+00,6.93311e+04,3.39748e+40,4.16769e+40,4.73033e+40,1.58549e+40
