name,galaxy_type,redshift,sfr,sfr_5Myr,sfr_10Myr,sfr_100Myr,gas_mass,star_mass,gas_average_metallicity,star_average_metallicity,gas_metallicity_inner_galaxy,star_metallicity_inner_galaxy,h2_mass_semi_analytical,h2_mass_cloudy,co_mass_cloudy,halo_mass,L_fir,L_skirt_full_wavelength_range,number_of_NaN_indices,gas_metallicity_hden_higher_than_1eminus2,gas_metallicity_hden_higher_than_1,L_co_10_semi_analytical,Pgas_10kpc,Pstar_10kpc,Ptotal_10kpc,Pgas_20kpc,Pstar_20kpc,Ptotal_20kpc,Pgas_half_light_visible_z500pc,Pstar_half_light_visible_z500pc,Ptotal_half_light_visible_z500pc,R_half_light_visible,R_half_light_stellar_mass,metallicity_gas_half_light_visible_z500pc,metalicity_star_half_light_visible_z500pc,hden_mass_average_half_light_visible_z500pc,fire_temperature_mass_average_half_light_visible_z500pc,co_weighted_temperature_mass_average_half_light_visible_z500pc,h2_weighted_temperature_mass_average_half_light_visible_z500pc,column_density_half_light_visible_z500pc,L_ly_alpha,L_h_alpha,L_h_beta,L_co_10,L_co_21,L_co_32,L_co_43,L_co_54,L_co_65,L_co_76,L_co_87,L_13co,L_c2,L_o3_88,L_o3_5006,L_o3_4958,L_ly_alpha_half_light_visible_z500pc,L_h_alpha_half_light_visible_z500pc,L_h_beta_half_light_visible_z500pc,L_co_10_half_light_visible_z500pc,L_co_21_half_light_visible_z500pc,L_co_32_half_light_visible_z500pc,L_co_43_half_light_visible_z500pc,L_co_54_half_light_visible_z500pc,L_co_65_half_light_visible_z500pc,L_co_76_half_light_visible_z500pc,L_co_87_half_light_visible_z500pc,L_13co_half_light_visible_z500pc,L_c2_half_light_visible_z500pc,L_o3_88_half_light_visible_z500pc,L_o3_5006_half_light_visible_z500pc,L_o3_4958_half_light_visible_z500pc
gal10,firebox,1.0,2.22452e+00,3.14742e+00,2.03091e+00,7.30880e+00,4.53136e+09,3.98026e+10,9.91089e-01,8.52644e-01,1.17758e+00,8.81463e-01,4.78297e+08,2.56835e+08,1.47687e+04,1.86541e+12,2.38094e+44,3.91386e+44,0,9.89123e-01,1.31574e+00,2.29729e+08,9.86328e+02,1.27563e+04,1.37426e+04,7.69003e+01,1.78509e+03,1.86199e+03,1.27950e+05,7.03970e+05,8.31920e+05,1.50000e+03,1.10000e+03,1.45369e+00,1.07312e+00,3.75140e+01,6.95279e+04,1.18319e+02,1.17813e+02,6.19106e+01,2.90111e+41,8.05905e+40,2.81193e+40,2.54092e+07,2.87339e+07,1.70845e+07,6.30440e+06,1.37574e+06,1.51637e+05,6.91997e+03,1.53428e+02,2.00006e+06,5.75166e+40,3.13333e+40,7.24531e+39,2.42830e+39,7.77273e+40,3.65021e+40,1.25889e+40,2.32255e+07,2.59348e+07,1.56054e+07,5.87902e+06,1.31147e+06,1.47088e+05,6.74120e+03,1.48252e+02,1.91444e+06,1.86992e+40,1.79553e+40,5.67735e+38,1.90298e+38
gal8,firebox,1.0,1.86985e+00,1.04797e+00,7.41927e-01,5.88197e-01,1.04294e+09,9.02461e+10,1.29304e+00,8.23093e-01,1.81475e+00,8.66674e-01,1.56117e+08,1.24079e+08,4.36515e+04,1.95517e+12,6.18187e+43,4.17815e+44,0,1.32266e+00,2.31228e+00,1.89010e+08,4.66408e+01,2.83135e+03,2.87799e+03,5.18876e+00,4.78705e+02,4.83894e+02,3.68317e+03,5.99848e+04,6.36680e+04,2.50000e+03,2.30000e+03,2.28957e+00,9.94628e-01,4.91225e+01,2.79555e+04,4.34258e+02,4.08271e+02,1.05040e+01,2.00182e+40,3.48480e+39,1.21547e+39,5.12765e+07,5.17905e+07,3.21574e+07,1.35343e+07,3.21376e+06,3.45214e+05,1.54518e+04,3.36129e+02,4.68610e+06,7.04490e+39,8.36508e+38,1.97611e+39,6.62349e+38,5.22014e+39,1.54251e+39,5.29241e+38,5.12127e+07,5.16995e+07,3.21123e+07,1.35234e+07,3.21236e+06,3.45116e+05,1.54472e+04,3.35681e+02,4.68409e+06,2.16058e+39,2.29096e+38,6.64626e+36,2.22761e+36
gal11,firebox,1.0,1.87179e+01,8.70863e+00,7.84259e+00,8.14590e+00,5.00232e+09,1.09345e+11,1.86590e+00,9.68057e-01,2.11512e+00,1.03561e+00,8.10071e+08,5.74528e+08,3.22325e+05,1.85030e+12,4.59792e+44,9.81897e+44,0,1.83980e+00,2.19224e+00,8.59461e+08,7.80065e+02,1.33335e+04,1.41136e+04,8.61118e+01,2.23884e+03,2.32495e+03,3.65226e+04,2.45486e+05,2.82009e+05,2.50000e+03,1.50000e+03,2.29937e+00,1.14174e+00,7.85688e+01,2.96564e+04,1.02714e+02,9.99216e+01,3.30770e+01,2.80612e+41,8.59269e+40,2.98856e+40,3.82214e+08,4.07512e+08,2.56177e+08,1.06368e+08,2.55145e+07,2.78751e+06,1.23220e+05,2.69885e+03,3.69883e+07,8.53209e+40,4.30674e+40,4.55437e+39,1.52644e+39,5.69077e+40,2.68737e+40,9.23671e+39,3.15042e+08,3.33418e+08,2.10827e+08,8.87705e+07,2.17341e+07,2.41060e+06,1.07051e+05,2.34963e+03,3.17157e+07,1.92611e+40,1.30112e+40,5.55136e+37,1.86068e+37
gal0,firebox,1.0,2.65837e+01,3.24178e+01,3.05598e+01,2.65841e+01,1.22295e+10,9.88691e+10,1.57796e+00,9.34181e-01,2.01530e+00,1.00051e+00,4.11515e+09,3.00197e+09,5.93722e+05,6.72533e+12,1.05896e+45,1.35983e+45,0,1.67223e+00,2.14039e+00,3.49655e+09,1.25551e+04,4.02693e+04,5.28244e+04,9.18461e+02,5.50974e+03,6.42820e+03,2.61786e+04,9.61263e+04,1.22305e+05,4.10000e+03,1.90000e+03,2.22621e+00,1.16704e+00,5.00709e+01,6.18755e+04,1.71075e+02,1.69262e+02,2.80039e+01,7.49796e+41,2.38830e+41,8.21335e+40,8.91302e+08,9.49399e+08,5.82906e+08,2.32777e+08,5.19269e+07,5.36353e+06,2.34859e+05,5.11895e+03,7.34930e+07,2.27616e+41,1.01203e+41,1.51659e+40,5.08285e+39,1.40225e+41,5.93482e+40,2.02103e+40,4.35829e+08,4.58145e+08,2.86621e+08,1.18203e+08,2.72583e+07,2.87849e+06,1.26375e+05,2.74946e+03,3.87291e+07,4.28668e+40,3.36267e+40,5.60222e+38,1.87757e+38
gal9,firebox,1.0,3.05035e+01,2.55915e+01,2.42866e+01,1.12991e+01,3.09294e+10,8.70573e+10,1.08158e+00,8.98556e-01,1.38386e+00,9.99223e-01,8.27069e+09,5.43866e+09,1.90737e+05,1.90266e+12,8.17045e+44,1.25104e+45,0,1.08402e+00,1.25253e+00,3.80231e+09,7.91629e+04,7.23034e+04,1.51466e+05,7.98540e+03,1.20213e+04,2.00067e+04,5.85069e+04,6.85640e+04,1.27071e+05,5.10000e+03,4.50000e+03,1.63309e+00,1.20601e+00,3.81013e+01,8.50211e+04,1.10837e+02,1.09579e+02,4.18648e+01,1.89170e+42,4.72921e+41,1.64366e+41,3.49209e+08,4.05604e+08,2.33103e+08,8.10288e+07,1.68737e+07,1.84032e+06,8.57032e+04,1.97539e+03,2.50653e+07,4.26788e+41,1.25670e+41,2.35831e+40,7.90426e+39,2.38400e+41,8.28425e+40,2.84846e+40,2.19780e+08,2.44692e+08,1.44947e+08,5.37056e+07,1.19312e+07,1.36251e+06,6.38122e+04,1.42871e+03,1.78999e+07,6.36187e+40,3.35851e+40,8.16701e+38,2.73743e+38
gal3,firebox,1.0,1.14439e+00,2.31959e+00,2.59521e+00,2.32428e+00,9.97929e+09,1.60732e+11,1.36747e+00,1.05835e+00,2.02870e+00,1.13752e+00,1.66856e+09,1.17534e+09,2.27340e+05,3.98307e+12,2.47216e+44,7.62792e+44,0,1.36943e+00,1.73609e+00,9.68206e+08,2.40399e+03,2.29087e+04,2.53127e+04,1.19568e+03,8.30735e+03,9.50302e+03,3.70940e+03,5.04638e+04,5.41732e+04,3.70000e+03,2.50000e+03,3.23250e+00,1.42174e+00,2.64616e+01,1.83682e+04,1.46707e+02,1.37812e+02,1.05414e+01,1.96928e+41,3.83817e+40,1.32911e+40,2.03916e+08,2.06235e+08,1.27155e+08,5.52620e+07,1.42784e+07,1.55029e+06,6.74679e+04,1.54268e+03,2.16015e+07,8.57733e+40,6.43557e+39,3.14436e+39,1.05388e+39,9.03599e+39,3.84002e+39,1.29952e+39,1.76833e+08,1.68510e+08,1.08107e+08,5.03915e+07,1.35473e+07,1.48694e+06,6.45299e+04,1.43636e+03,2.04830e+07,5.49169e+39,1.57792e+39,1.69678e+36,5.68705e+35
gal4,firebox,1.0,1.35614e+01,7.32267e+00,6.16213e+00,6.80153e+00,2.06796e+09,2.24551e+11,2.98247e+00,1.22630e+00,4.25276e+00,1.31167e+00,5.49483e+08,4.30931e+08,1.24569e+06,3.82973e+12,3.97728e+44,1.21362e+45,0,3.91206e+00,4.57255e+00,1.28819e+09,2.14659e+02,8.76227e+03,8.97693e+03,1.96419e+01,1.33671e+03,1.35635e+03,4.01461e+03,7.22241e+04,7.62388e+04,2.90000e+03,2.10000e+03,4.68329e+00,1.58233e+00,8.03384e+01,1.62568e+05,1.22028e+02,1.20079e+02,1.09665e+01,7.90170e+40,2.36985e+40,8.10741e+39,8.29097e+08,7.64167e+08,4.99739e+08,2.44532e+08,7.13381e+07,8.57660e+06,3.85661e+05,8.55258e+03,1.15270e+08,3.58559e+40,1.31457e+40,5.32849e+39,1.78580e+39,1.32825e+40,7.02455e+39,2.35989e+39,4.42109e+08,4.08964e+08,2.66975e+08,1.29907e+08,3.76342e+07,4.49503e+06,2.01624e+05,4.49196e+03,6.07991e+07,7.53136e+39,4.54750e+39,9.01332e+35,3.02108e+35
gal6,firebox,1.0,1.16897e+01,7.61111e+00,8.34752e+00,7.39034e+00,1.57421e+10,1.42501e+11,1.46748e+00,1.41433e+00,2.37861e+00,1.46085e+00,4.51585e+09,3.13492e+09,7.64452e+05,2.79866e+12,4.53066e+44,9.15840e+44,0,1.48220e+00,1.95333e+00,3.16688e+09,2.15114e+04,8.46162e+04,1.06128e+05,3.67422e+03,1.77234e+04,2.13976e+04,3.49283e+04,2.57856e+05,2.92785e+05,2.90000e+03,2.10000e+03,3.53043e+00,1.73458e+00,4.10163e+01,6.10424e+04,7.03329e+01,6.87520e+01,3.23470e+01,5.60164e+41,1.16630e+41,4.03772e+40,7.27782e+08,7.29486e+08,4.58115e+08,2.01265e+08,5.15273e+07,5.61306e+06,2.48487e+05,5.66883e+03,7.75361e+07,1.70756e+41,2.03728e+40,7.89254e+39,2.64530e+39,2.52947e+40,1.13187e+40,3.81874e+39,5.73000e+08,5.56238e+08,3.59519e+08,1.65790e+08,4.38094e+07,4.78668e+06,2.08095e+05,4.66057e+03,6.57826e+07,1.47343e+40,5.12246e+39,2.30902e+36,7.73934e+35
gal5,firebox,1.0,1.79898e+01,1.57117e+01,1.35890e+01,1.18221e+01,2.91213e+10,1.33773e+11,1.34592e+00,1.01752e+00,1.70320e+00,1.08474e+00,9.11745e+09,5.98692e+09,2.58353e+05,3.01058e+12,8.17120e+44,1.56370e+45,0,1.34475e+00,1.50777e+00,4.59156e+09,6.49867e+04,1.09206e+05,1.74193e+05,9.93067e+03,2.19175e+04,3.18482e+04,4.96250e+04,1.70417e+05,2.20042e+05,3.90000e+03,2.70000e+03,2.13679e+00,1.25567e+00,3.37351e+01,2.61627e+04,9.14206e+01,8.98314e+01,3.85563e+01,1.34562e+42,3.31029e+41,1.14558e+41,4.53226e+08,5.06690e+08,2.94232e+08,1.07014e+08,2.22858e+07,2.25563e+06,1.05464e+05,2.53475e+03,3.20337e+07,4.05114e+41,7.57618e+40,9.24154e+39,3.09746e+39,1.04801e+41,4.05458e+40,1.38714e+40,2.28888e+08,2.40197e+08,1.45739e+08,5.79840e+07,1.28092e+07,1.29922e+06,5.83935e+04,1.31164e+03,1.81729e+07,4.03515e+40,1.53773e+40,7.13743e+37,2.39221e+37
gal14,firebox,1.0,2.11601e+01,1.12491e+01,8.40063e+00,1.06423e+01,8.61246e+09,8.40567e+10,2.13735e+00,1.05413e+00,2.36727e+00,1.10535e+00,4.04236e+09,2.75334e+09,7.50546e+05,1.52455e+12,4.83483e+44,8.02052e+44,0,2.23684e+00,2.45936e+00,3.63983e+09,1.57892e+04,4.99131e+04,6.57023e+04,1.09191e+03,6.65021e+03,7.74213e+03,2.06390e+05,4.35154e+05,6.41544e+05,3.10000e+03,2.10000e+03,2.75383e+00,1.34816e+00,4.55487e+01,3.08775e+04,4.01422e+01,3.99489e+01,7.86303e+01,2.59648e+41,7.37347e+40,2.52302e+40,8.43508e+08,8.45232e+08,5.27783e+08,2.27677e+08,5.59614e+07,6.04483e+06,2.67325e+05,5.85646e+03,8.20050e+07,1.23190e+41,2.02529e+40,3.29059e+39,1.10284e+39,8.47394e+40,3.19279e+40,1.08418e+40,7.62149e+08,7.53760e+08,4.76019e+08,2.09460e+08,5.23186e+07,5.70667e+06,2.52622e+05,5.51825e+03,7.67900e+07,4.02833e+40,1.00190e+40,2.38589e+37,7.99697e+36
