name,galaxy_type,redshift,number_of_NaN_indices,R_half_light_visible,R_half_mass_stellar_mass,hden_mass_average_half_light_visible_z500pc,column_density_half_light_visible_z500pc,L_co_10_semi_analytical,gas_mass,star_mass,total_gas_mass_within_R50_and_disk,total_star_mass_within_R50_and_disk,gas_fraction_all_galaxy,gas_fraction_R50_and_disk,stellar_mass_fraction_all_galaxy,stellar_mass_fraction_within_R50_and_disk,h2_mass_semi_analytical,h2_mass_cloudy,co_mass_cloudy,halo_mass,sfr_instantaneous,sfr_5Myr,sfr_10Myr,sfr_100Myr,sfr_instantaneous_surface_density_twoR50,sfr_5Myr_surface_density_twoR50,sfr_10Myr_surface_density_twoR50,sfr_100Myr_surface_density_twoR50,sfr_instantaneous_sSFR,sfr_5Myr_sSFR,sfr_10Myr_sSFR,sfr_100Myr_sSFR,sfe_sfr_instantaneous_all_gas,sfe_sfr_5Myr_all_gas,sfe_sfr_10Myr_all_gas,sfe_sfr_100Myr_all_gas,sfe_sfr_instantaneous_surface_density_twoR50_all_gas,sfe_sfr_5Myr_surface_density_twoR50_all_gas,sfe_sfr_10Myr_surface_density_twoR50_all_gas,sfe_sfr_100Myr_surface_density_twoR50_all_gas,sfe_sfr_instantaneous_sSFR_all_gas,sfe_sfr_5Myr_sSFR_all_gas,sfe_sfr_10Myr_sSFR_all_gas,sfe_sfr_100Myr_sSFR_all_gas,sfe_sfr_instantaneous_R50_and_disk,sfe_sfr_5Myr_R50_and_disk,sfe_sfr_10Myr_R50_and_disk,sfe_sfr_100Myr_R50_and_disk,sfe_sfr_instantaneous_surface_density_twoR50_R50_and_disk,sfe_sfr_5Myr_surface_density_twoR50_R50_and_disk,sfe_sfr_10Myr_surface_density_twoR50_R50_and_disk,sfe_sfr_100Myr_surface_density_twoR50_R50_and_disk,sfe_sfr_instantaneous_sSFR_R50_and_disk,sfe_sfr_5Myr_sSFR_R50_and_disk,sfe_sfr_10Myr_sSFR_R50_and_disk,sfe_sfr_100Myr_sSFR_R50_and_disk,average_gas_metallicity,average_star_metallicity,gas_metallicity_inner_galaxy,star_metallicity_inner_galaxy,gas_metallicity_hden_higher_than_1eminus2,gas_metallicity_hden_higher_than_1,metallicity_gas_half_light_visible_z500pc,metallicity_star_half_light_visible_z500pc,twelve_plus_logOH,twelve_plus_logOH_half_light_visible_z500pc,Pgas_10kpc,Pstar_10kpc,Ptotal_10kpc,Pgas_20kpc,Pstar_20kpc,Ptotal_20kpc,Pgas_half_light_visible_z500pc,Pstar_half_light_visible_z500pc,Ptotal_half_light_visible_z500pc,fire_temperature_mass_average_half_light_visible_z500pc,co_weighted_temperature_mass_average_half_light_visible_z500pc,h2_weighted_temperature_mass_average_half_light_visible_z500pc,L_fir,L_skirt_full_wavelength_range,L_skirt_habing,mass_average_radiation_field,volume_weighted_average_radiation_field,mass_average_radiation_field_R50_and_disk,volume_weighted_average_radiation_field_R50_and_disk,L_ly_alpha,L_h_alpha,L_h_beta,L_co_10,L_co_21,L_co_32,L_co_43,L_co_54,L_co_65,L_co_76,L_co_87,L_13co,L_c2,L_o3_88,L_o3_5006,L_o3_4958,L_ly_alpha_half_light_visible_z500pc,L_h_alpha_half_light_visible_z500pc,L_h_beta_half_light_visible_z500pc,L_co_10_half_light_visible_z500pc,L_co_21_half_light_visible_z500pc,L_co_32_half_light_visible_z500pc,L_co_43_half_light_visible_z500pc,L_co_54_half_light_visible_z500pc,L_co_65_half_light_visible_z500pc,L_co_76_half_light_visible_z500pc,L_co_87_half_light_visible_z500pc,L_13co_half_light_visible_z500pc,L_c2_half_light_visible_z500pc,L_o3_88_half_light_visible_z500pc,L_o3_5006_half_light_visible_z500pc,L_o3_4958_half_light_visible_z500pc
gal0,firebox,2.0,0,3.70000e+03,2.10000e+03,9.41180e+01,6.85913e+01,3.75712e+09,4.08793e+10,1.22320e+11,2.95000e+09,4.76729e+10,2.50487e-01,5.82741e-02,7.49513e-01,9.41726e-01,8.51629e+09,4.96602e+09,3.63944e+05,4.24128e+12,1.19114e+02,1.13271e+02,1.07179e+02,7.31335e+01,6.92386e-07,6.58423e-07,6.23010e-07,4.25112e-07,9.73787e-10,9.26022e-10,8.76216e-10,5.97887e-10,2.91379e-09,2.77086e-09,2.62183e-09,1.78901e-09,1.69373e-17,1.61065e-17,1.52402e-17,1.03992e-17,2.38210e-20,2.26526e-20,2.14342e-20,1.46257e-20,4.03774e-08,3.83969e-08,3.63317e-08,2.47910e-08,2.34707e-16,2.23194e-16,2.11190e-16,1.44105e-16,3.30097e-19,3.13905e-19,2.97022e-19,2.02673e-19,8.99633e-01,7.11251e-01,1.14343e+00,7.85223e-01,8.99290e-01,9.44806e-01,1.34800e+00,9.39516e-01,8.78905e+00,8.96509e+00,5.63516e+04,9.75426e+04,1.53894e+05,6.65727e+03,1.70138e+04,2.36711e+04,1.57053e+05,3.33455e+05,4.90509e+05,2.16243e+05,1.15862e+02,1.14866e+02,3.74832e+45,4.75344e+45,1.00643e+43,1.12964e+01,1.12964e+01,6.83892e+01,6.83892e+01,3.45203e+42,9.17495e+41,3.21143e+41,8.51616e+08,1.36850e+09,7.60756e+08,2.09645e+08,3.41248e+07,3.22912e+06,1.50387e+05,5.14447e+03,3.90207e+07,4.41839e+41,3.13779e+41,7.31358e+40,2.45128e+40,4.76858e+41,1.89522e+41,6.57213e+40,6.18353e+08,1.00461e+09,5.60887e+08,1.55198e+08,2.57073e+07,2.48990e+06,1.17992e+05,4.16997e+03,2.91505e+07,7.30611e+40,8.46130e+40,6.08889e+39,2.04080e+39
gal1,firebox,2.0,0,5.10000e+03,3.50000e+03,3.90052e+01,3.59159e+01,3.67699e+09,2.81961e+10,7.89630e+10,2.93479e+09,2.87553e+10,2.63124e-01,9.26089e-02,7.36876e-01,9.07391e-01,8.24477e+09,4.93629e+09,1.75273e+05,2.60068e+12,3.86192e+01,3.27210e+01,3.40590e+01,4.03547e+01,1.18155e-07,1.00110e-07,1.04203e-07,1.23465e-07,4.89079e-10,4.14384e-10,4.31329e-10,5.11059e-10,1.36966e-09,1.16048e-09,1.20793e-09,1.43122e-09,4.19048e-18,3.55049e-18,3.69566e-18,4.37880e-18,1.73456e-20,1.46965e-20,1.52975e-20,1.81252e-20,1.31591e-08,1.11494e-08,1.16053e-08,1.37505e-08,4.02602e-17,3.41114e-17,3.55062e-17,4.20695e-17,1.66649e-19,1.41197e-19,1.46971e-19,1.74138e-19,1.22329e+00,7.03627e-01,1.37034e+00,7.51037e-01,1.23744e+00,1.32162e+00,1.51338e+00,8.87649e-01,8.92355e+00,9.01624e+00,8.18231e+04,8.59746e+04,1.67798e+05,7.37034e+03,1.31138e+04,2.04841e+04,4.30608e+04,8.37964e+04,1.26857e+05,5.79980e+04,1.25832e+02,1.25490e+02,1.55568e+45,2.20057e+45,2.72564e+42,6.11482e+00,6.11482e+00,1.63335e+01,1.63335e+01,1.80012e+42,5.25713e+41,1.83507e+41,2.94633e+08,4.30858e+08,2.36865e+08,6.77797e+07,1.17041e+07,1.17296e+06,5.46728e+04,1.44568e+03,1.52647e+07,3.51535e+41,1.72961e+41,2.33558e+40,7.82813e+39,2.46890e+41,9.46984e+40,3.28301e+40,1.24861e+08,1.67223e+08,9.50328e+07,3.02021e+07,5.92516e+06,6.48846e+05,3.06884e+04,7.38642e+02,8.13966e+06,5.85822e+40,3.61549e+40,1.31390e+39,4.40377e+38
gal2,firebox,2.0,0,5.70000e+03,2.30000e+03,4.07004e+01,4.78097e+01,3.50689e+09,3.54108e+10,7.78275e+10,4.87995e+09,3.57629e+10,3.12710e-01,1.20069e-01,6.87290e-01,8.79931e-01,8.08317e+09,4.76901e+09,3.91166e+05,2.21937e+12,3.54937e+01,3.10169e+01,2.89514e+01,5.20061e+01,8.69345e-08,7.59693e-08,7.09105e-08,1.27378e-07,4.56057e-10,3.98533e-10,3.71995e-10,6.68223e-10,1.00234e-09,8.75915e-10,8.17588e-10,1.46865e-09,2.45503e-18,2.14537e-18,2.00251e-18,3.59716e-18,1.28790e-20,1.12546e-20,1.05051e-20,1.88706e-20,7.27338e-09,6.35597e-09,5.93273e-09,1.06571e-08,1.78146e-17,1.55676e-17,1.45310e-17,2.61023e-17,9.34551e-20,8.16675e-20,7.62292e-20,1.36932e-19,8.60125e-01,8.05759e-01,1.08135e+00,8.68347e-01,8.65093e-01,9.55281e-01,1.45547e+00,1.06740e+00,8.77007e+00,8.99575e+00,6.55246e+04,7.42336e+04,1.39758e+05,8.30970e+03,1.35514e+04,2.18611e+04,7.63029e+04,1.05282e+05,1.81585e+05,2.39676e+04,2.12607e+02,2.12877e+02,1.40519e+45,2.29672e+45,2.44588e+43,7.13140e+00,7.13140e+00,1.39101e+01,1.39101e+01,3.73979e+42,9.01300e+41,3.17311e+41,7.16770e+08,1.05889e+09,5.97913e+08,1.76128e+08,2.91337e+07,2.61408e+06,1.15768e+05,3.00178e+03,3.50922e+07,3.94558e+41,2.22400e+41,1.30669e+41,4.37960e+40,3.98611e+41,1.25970e+41,4.39255e+40,6.74012e+08,9.93460e+08,5.62814e+08,1.66781e+08,2.76893e+07,2.48151e+06,1.08926e+05,2.67017e+03,3.32978e+07,7.42252e+40,3.19019e+40,8.68734e+39,2.91172e+39
gal3,firebox,2.0,0,2.30000e+03,1.10000e+03,8.29942e+01,9.57827e+01,1.31965e+09,1.39322e+10,4.03337e+10,1.59181e+09,2.04612e+10,2.56739e-01,7.21813e-02,7.43261e-01,9.27819e-01,3.08477e+09,1.77086e+09,1.20775e+05,2.01955e+12,3.85097e+01,3.75968e+01,3.03813e+01,1.98583e+01,5.79302e-07,5.65568e-07,4.57026e-07,2.98728e-07,9.54778e-10,9.32142e-10,7.53249e-10,4.92349e-10,2.76408e-09,2.69855e-09,2.18066e-09,1.42535e-09,4.15801e-17,4.05943e-17,3.28036e-17,2.14416e-17,6.85303e-20,6.69056e-20,5.40653e-20,3.53390e-20,2.41924e-08,2.36188e-08,1.90860e-08,1.24752e-08,3.63926e-16,3.55298e-16,2.87110e-16,1.87665e-16,5.99804e-19,5.85584e-19,4.73201e-19,3.09300e-19,7.87668e-01,6.03673e-01,9.18573e-01,6.24122e-01,8.02222e-01,9.47219e-01,1.17519e+00,7.22327e-01,8.72786e+00,8.89884e+00,1.80150e+04,4.51565e+04,6.31715e+04,1.32544e+03,6.14034e+03,7.46578e+03,3.06255e+05,6.22437e+05,9.28692e+05,1.99188e+04,1.43032e+02,1.42297e+02,1.17495e+45,1.51236e+45,7.15923e+42,1.15653e+01,1.15653e+01,6.42853e+01,6.42853e+01,1.42832e+42,3.85826e+41,1.35937e+41,2.09061e+09,4.56337e+09,2.75027e+09,7.25516e+08,1.00152e+08,8.66433e+06,6.49291e+05,8.17533e+04,4.45411e+07,1.51216e+41,1.11906e+41,5.12585e+40,1.71802e+40,2.69983e+41,1.06394e+41,3.71684e+40,2.06548e+09,4.52308e+09,2.72898e+09,7.20171e+08,9.94022e+07,8.60461e+06,6.46698e+05,8.16541e+04,4.36541e+07,3.91771e+40,3.37900e+40,5.96020e+39,1.99767e+39
gal4,firebox,2.0,0,4.70000e+03,2.30000e+03,6.83569e+01,5.86756e+01,6.71927e+09,3.43994e+10,8.62551e+10,4.07196e+09,4.67452e+10,2.85107e-01,8.01296e-02,7.14893e-01,9.19870e-01,1.15949e+10,7.50359e+09,8.45346e+05,1.87555e+12,1.08823e+02,1.24602e+02,1.22226e+02,7.43694e+01,3.92027e-07,4.48867e-07,4.40308e-07,2.67910e-07,1.26164e-09,1.44457e-09,1.41702e-09,8.62203e-10,3.16353e-09,3.62221e-09,3.55313e-09,2.16194e-09,1.13963e-17,1.30487e-17,1.27999e-17,7.78822e-18,3.66764e-20,4.19941e-20,4.11933e-20,2.50645e-20,2.67251e-08,3.05999e-08,3.00164e-08,1.82638e-08,9.62749e-17,1.10234e-16,1.08132e-16,6.57939e-17,3.09837e-19,3.54761e-19,3.47996e-19,2.11742e-19,1.10651e+00,9.50334e-01,1.37709e+00,9.73491e-01,1.14302e+00,1.38684e+00,1.66002e+00,1.10125e+00,8.88385e+00,9.06318e+00,1.36387e+05,1.31976e+05,2.68363e+05,1.03106e+04,1.82133e+04,2.85239e+04,1.14928e+05,1.97294e+05,3.12222e+05,2.88599e+05,1.11794e+02,1.11292e+02,3.56705e+45,4.09191e+45,2.24844e+42,1.12401e+01,1.12401e+01,3.39375e+01,3.39375e+01,2.78537e+42,8.04714e+41,2.80577e+41,2.61838e+09,4.48070e+09,2.52137e+09,6.74251e+08,9.85932e+07,8.37104e+06,4.25590e+05,2.89801e+04,9.82965e+07,4.37560e+41,2.88338e+41,4.64475e+40,1.55677e+40,4.16082e+41,1.55814e+41,5.38677e+40,1.96312e+09,3.34842e+09,1.86625e+09,4.92081e+08,6.97375e+07,5.61351e+06,2.53697e+05,9.73678e+03,7.13399e+07,7.77420e+40,6.84427e+40,4.19668e+39,1.40659e+39
gal5,firebox,2.0,0,1.10000e+03,9.00000e+02,8.02758e+01,5.05796e+01,2.44978e+08,5.33177e+09,7.71576e+10,1.92270e+08,3.73197e+10,6.46358e-02,5.12555e-03,9.35364e-01,9.94874e-01,2.43013e+08,1.47751e+08,1.00570e+05,1.69827e+12,4.61048e+00,7.90488e+00,7.63319e+00,1.07631e+01,3.03215e-07,5.19876e-07,5.02008e-07,7.07852e-07,5.97540e-11,1.02451e-10,9.89298e-11,1.39495e-10,8.64718e-10,1.48260e-09,1.43164e-09,2.01867e-09,5.68695e-17,9.75054e-17,9.41542e-17,1.32761e-16,1.12072e-20,1.92152e-20,1.85548e-20,2.61630e-20,2.39792e-08,4.11135e-08,3.97004e-08,5.59792e-08,1.57703e-15,2.70389e-15,2.61096e-15,3.68155e-15,3.10782e-19,5.32850e-19,5.14536e-19,7.25517e-19,7.37636e-01,9.30784e-01,1.74165e+00,9.48482e-01,7.53946e-01,7.97385e-01,2.62191e+00,1.12118e+00,8.68818e+00,9.24718e+00,1.25836e+02,7.71888e+03,7.84472e+03,2.89039e+01,1.85189e+03,1.88079e+03,8.54005e+04,1.34212e+06,1.42752e+06,3.26448e+05,8.46673e+01,8.49605e+01,4.40121e+44,8.93530e+44,2.22223e+42,4.19200e+00,4.19200e+00,6.06648e+01,6.06648e+01,4.33558e+41,8.56729e+40,3.02057e+40,5.46766e+08,8.95972e+08,4.95377e+08,1.31407e+08,1.79111e+07,1.27701e+06,5.05842e+04,1.73424e+03,1.81563e+07,2.80966e+40,2.77463e+40,1.65439e+40,5.54500e+39,2.72855e+40,1.48372e+40,5.04685e+39,5.45792e+08,8.94083e+08,4.94397e+08,1.31195e+08,1.78888e+07,1.27577e+06,5.05339e+04,1.72896e+03,1.81302e+07,7.03326e+39,9.54888e+39,8.66312e+37,2.90360e+37
gal6,firebox,2.0,0,2.10000e+03,1.70000e+03,8.20652e+01,4.28404e+01,3.70590e+08,6.83788e+09,5.79140e+10,5.93530e+08,1.97683e+10,1.05601e-01,2.91492e-02,8.94399e-01,9.70851e-01,6.05422e+08,3.45784e+08,5.99891e+04,1.46496e+12,1.54992e+01,2.02859e+01,1.32934e+01,1.79368e+01,2.79680e-07,3.66055e-07,2.39877e-07,3.23666e-07,2.67625e-10,3.50277e-10,2.29537e-10,3.09715e-10,2.26667e-09,2.96670e-09,1.94408e-09,2.62315e-09,4.09016e-17,5.35334e-17,3.50805e-17,4.73342e-17,3.91386e-20,5.12260e-20,3.35685e-20,4.52940e-20,2.61136e-08,3.41785e-08,2.23972e-08,3.02206e-08,4.71215e-16,6.16743e-16,4.04152e-16,5.45323e-16,4.50904e-19,5.90159e-19,3.86732e-19,5.21818e-19,1.15827e+00,5.93738e-01,1.27203e+00,6.44663e-01,1.17861e+00,1.30902e+00,1.37804e+00,7.86969e-01,8.89214e+00,8.96732e+00,1.66082e+03,1.54721e+04,1.71329e+04,1.55153e+02,2.39015e+03,2.54531e+03,6.12657e+04,3.13649e+05,3.74915e+05,7.03910e+04,2.48827e+02,2.46848e+02,7.75455e+44,1.36650e+45,7.63913e+42,1.01577e+01,1.01577e+01,8.61292e+01,8.61292e+01,5.89750e+41,1.74736e+41,6.13597e+40,4.45938e+08,7.63013e+08,4.44853e+08,1.25133e+08,1.90129e+07,1.57115e+06,6.90802e+04,2.57039e+03,1.58188e+07,6.58335e+40,8.72887e+40,1.74489e+40,5.84832e+39,1.29032e+41,6.04521e+40,2.10402e+40,4.41398e+08,7.56919e+08,4.41440e+08,1.24085e+08,1.88160e+07,1.55142e+06,6.82255e+04,2.54375e+03,1.55365e+07,1.83602e+40,3.24517e+40,2.61756e+39,8.77324e+38
gal7,firebox,2.0,0,5.70000e+03,3.70000e+03,6.77705e+01,1.90766e+01,1.88884e+09,3.35796e+10,6.23021e+10,1.94715e+09,1.77611e+10,3.50219e-01,9.87989e-02,6.49781e-01,9.01201e-01,5.82473e+09,2.87068e+09,6.59461e+04,1.41453e+12,3.33403e+01,3.15455e+01,3.45826e+01,5.41069e+01,8.16601e-08,7.72641e-08,8.47029e-08,1.32523e-07,5.35139e-10,5.06331e-10,5.55079e-10,8.68460e-10,9.92873e-10,9.39424e-10,1.02987e-09,1.61130e-09,2.43184e-18,2.30092e-18,2.52245e-18,3.94654e-18,1.59364e-20,1.50785e-20,1.65303e-20,2.58627e-20,1.71226e-08,1.62008e-08,1.77606e-08,2.77877e-08,4.19382e-17,3.96806e-17,4.35009e-17,6.80601e-17,2.74832e-19,2.60037e-19,2.85072e-19,4.46015e-19,8.65899e-01,5.88828e-01,1.02187e+00,6.64535e-01,8.77074e-01,9.26435e-01,1.06569e+00,7.43902e-01,8.77524e+00,8.86773e+00,2.81034e+04,3.79799e+04,6.60833e+04,3.55742e+03,7.15756e+03,1.07150e+04,1.21482e+04,2.96045e+04,4.17527e+04,4.01286e+05,2.88766e+02,2.88123e+02,1.58814e+45,2.45084e+45,1.54597e+43,7.82034e+00,7.82034e+00,4.91883e+01,4.91883e+01,3.71845e+42,9.76710e+41,3.43551e+41,3.10877e+08,5.68795e+08,3.08456e+08,7.49629e+07,1.00235e+07,8.20877e+05,3.92322e+04,1.83528e+03,9.49245e+06,4.06164e+41,3.29178e+41,1.06572e+41,3.57194e+40,2.91507e+41,9.73878e+40,3.40309e+40,1.68644e+08,3.08158e+08,1.71924e+08,4.39175e+07,6.43560e+06,5.89311e+05,2.96992e+04,1.31976e+03,5.99713e+06,3.60964e+40,3.56130e+40,6.14231e+39,2.05871e+39
gal8,firebox,2.0,0,3.90000e+03,1.90000e+03,4.84015e+01,5.18830e+01,2.46923e+09,2.68118e+10,4.14922e+10,2.47916e+09,1.97828e+10,3.92537e-01,1.11363e-01,6.07463e-01,8.88637e-01,6.47536e+09,3.49463e+09,1.02954e+05,9.71246e+11,4.09718e+01,5.06012e+01,5.53496e+01,3.48790e+01,2.14361e-07,2.64741e-07,2.89585e-07,1.82484e-07,9.87459e-10,1.21953e-09,1.33398e-09,8.40616e-10,1.52812e-09,1.88727e-09,2.06437e-09,1.30088e-09,7.99502e-18,9.87404e-18,1.08006e-17,6.80610e-18,3.68292e-20,4.54849e-20,4.97533e-20,3.13524e-20,1.65265e-08,2.04106e-08,2.23260e-08,1.40689e-08,8.64653e-17,1.06787e-16,1.16808e-16,7.36073e-17,3.98304e-19,4.91915e-19,5.38076e-19,3.39073e-19,8.08903e-01,5.95834e-01,9.27032e-01,6.32716e-01,8.24098e-01,9.27270e-01,1.17749e+00,7.12058e-01,8.74604e+00,8.90706e+00,5.67552e+04,6.14413e+04,1.18197e+05,4.42559e+03,8.61430e+03,1.30399e+04,8.98585e+04,1.50144e+05,2.40002e+05,4.38615e+04,1.77827e+02,1.76880e+02,1.93887e+45,2.43881e+45,9.44043e+42,1.20637e+01,1.20637e+01,3.62024e+01,3.62024e+01,2.96343e+42,8.21279e+41,2.88613e+41,4.94953e+08,9.02622e+08,4.98265e+08,1.24107e+08,1.60990e+07,1.21091e+06,5.58449e+04,2.48268e+03,1.49635e+07,3.39560e+41,2.36963e+41,8.69812e+40,2.91533e+40,3.89267e+41,1.46558e+41,5.12070e+40,4.15655e+08,7.78118e+08,4.31320e+08,1.06438e+08,1.33282e+07,9.60177e+05,4.45384e+04,2.09466e+03,1.16088e+07,5.94038e+40,4.97470e+40,7.80611e+39,2.61636e+39
gal9,firebox,2.0,0,2.30000e+03,1.70000e+03,1.53067e+02,7.95502e+01,7.28259e+08,2.35762e+10,2.94810e+10,1.32205e+09,1.13900e+10,4.44354e-01,1.04000e-01,5.55646e-01,8.96000e-01,2.63378e+09,1.42143e+09,1.18613e+05,9.43214e+11,6.50700e+01,5.47822e+01,4.46545e+01,1.73477e+01,9.78848e-07,8.24089e-07,6.71738e-07,2.60961e-07,2.20718e-09,1.85822e-09,1.51469e-09,5.88437e-10,2.75999e-09,2.32362e-09,1.89405e-09,7.35815e-10,4.15185e-17,3.49543e-17,2.84922e-17,1.10689e-17,9.36193e-20,7.88178e-20,6.42465e-20,2.49590e-20,4.92191e-08,4.14374e-08,3.37768e-08,1.31219e-08,7.40403e-16,6.23343e-16,5.08104e-16,1.97392e-16,1.66952e-18,1.40556e-18,1.14571e-18,4.45096e-19,5.05856e-01,4.32090e-01,5.90549e-01,4.57934e-01,5.06724e-01,5.83946e-01,7.88808e-01,5.46956e-01,8.53367e+00,8.72283e+00,2.25106e+04,3.98508e+04,6.23614e+04,1.89180e+03,5.82925e+03,7.72105e+03,2.11247e+05,3.85696e+05,5.96944e+05,3.64921e+04,2.17753e+02,2.17140e+02,1.26814e+45,1.62887e+45,9.54366e+42,1.45770e+01,1.45770e+01,1.89274e+02,1.89274e+02,2.53650e+42,5.73452e+41,2.03163e+41,1.26322e+08,1.65021e+08,1.03451e+08,4.02531e+07,1.05258e+07,1.46958e+06,9.13101e+04,3.00390e+03,1.13378e+07,1.73131e+41,1.31102e+41,1.15794e+41,3.88105e+40,3.59329e+41,1.24379e+41,4.36771e+40,1.20292e+08,1.55136e+08,9.83403e+07,3.90405e+07,1.03652e+07,1.45381e+06,8.98206e+04,2.85817e+03,1.11318e+07,2.94034e+40,3.67842e+40,1.63094e+40,5.46639e+39
